wavelength,amplitude
2.126810000000e+03,8.000000000000e+02
2.152680000000e+03,6.000000000000e+02
2.169420000000e+03,1.000000000000e+03
2.187430000000e+03,3.000000000000e+02
2.190380000000e+03,2.000000000000e+02
2.204960000000e+03,5.000000000000e+02
2.208090000000e+03,1.500000000000e+02
2.242690000000e+03,4.000000000000e+02
2.281020000000e+03,1.500000000000e+02
2.368040000000e+03,6.000000000000e+01
2.375090000000e+03,5.000000000000e+01
2.426530000000e+03,3.000000000000e+01
2.512580000000e+03,3.000000000000e+01
3.731360000000e+03,3.000000000000e+01
