wavelength,amplitude
4.418100000000e+02,8.000000000000e+02
4.650800000000e+02,1.500000000000e+02
4.760300000000e+02,3.000000000000e+02
4.951400000000e+02,1.000000000000e+03
6.007700000000e+02,1.000000000000e+03
6.079300000000e+02,8.000000000000e+02
6.126200000000e+02,1.000000000000e+03
2.190000000000e+03,2.000000000000e+02
2.550020000000e+03,2.000000000000e+02
3.105000000000e+03,2.000000000000e+02
3.440050000000e+03,2.500000000000e+02
3.530750000000e+03,2.500000000000e+02
3.618490000000e+03,2.000000000000e+02
3.681540000000e+03,2.000000000000e+02
3.816560000000e+03,2.000000000000e+02
3.817500000000e+03,2.500000000000e+02
3.897920000000e+03,2.500000000000e+02
4.001240000000e+03,2.500000000000e+02
4.134720000000e+03,2.500000000000e+02
4.149190000000e+03,2.500000000000e+02
4.186240000000e+03,2.500000000000e+02
4.222970000000e+03,2.500000000000e+02
4.225670000000e+03,2.500000000000e+02
4.263400000000e+03,2.500000000000e+02
4.305000000000e+03,2.500000000000e+02
4.309100000000e+03,2.500000000000e+02
4.388160000000e+03,2.500000000000e+02
4.608450000000e+03,2.500000000000e+02
4.829230000000e+03,3.000000000000e+02
5.005600000000e+03,2.500000000000e+02
5.056270000000e+03,2.500000000000e+02
6.120270000000e+03,2.500000000000e+02
6.307290000000e+03,2.500000000000e+02
