percent,R,G,B
0.000000,226,0,226
2.000000,206,0,218
4.000000,176,0,199
6.000000,155,0,187
8.000000,178,0,231
10.000000,182,0,255
12.000000,165,0,251
14.000000,134,0,223
16.000000,93,0,173
18.000000,0,0,0
20.000000,4,0,208
22.000000,0,46,127
24.000000,0,107,143
26.000000,0,174,214
28.000000,0,0,0
30.000000,0,220,92
32.000000,0,203,57
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,212,120,0
60.000000,23,11,0
62.000000,197,92,0
64.000000,171,75,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
