percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,198,0,239
8.000000,118,0,153
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,3,0,198
22.000000,0,76,209
24.000000,0,180,240
26.000000,0,197,242
28.000000,0,207,236
30.000000,0,215,89
32.000000,0,239,67
34.000000,0,200,30
36.000000,0,0,0
38.000000,28,244,0
40.000000,53,212,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,130,163,0
50.000000,255,255,0
52.000000,198,159,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,150,38,0
78.000000,254,56,0
80.000000,220,42,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,228,12,0
98.000000,232,19,0
100.000000,0,0,0
