wavelength,amplitude
7.294000000000e+02,2.000000000000e+01
7.611800000000e+02,7.000000000000e+01
7.639800000000e+02,3.000000000000e+01
7.662000000000e+02,2.000000000000e+01
7.710300000000e+02,7.000000000000e+01
7.736900000000e+02,2.000000000000e+01
7.821000000000e+02,7.000000000000e+01
7.837200000000e+02,3.000000000000e+01
8.181500000000e+02,2.000000000000e+01
8.303800000000e+02,2.000000000000e+01
8.440600000000e+02,3.000000000000e+01
8.648200000000e+02,2.000000000000e+01
8.688700000000e+02,2.000000000000e+01
8.841400000000e+02,7.000000000000e+01
8.863000000000e+02,3.000000000000e+02
8.910100000000e+02,1.300000000000e+02
9.113900000000e+02,7.000000000000e+01
9.174300000000e+02,7.000000000000e+02
9.649700000000e+02,7.000000000000e+02
2.464770000000e+03,3.000000000000e+01
2.492480000000e+03,2.000000000000e+01
2.712400000000e+03,2.500000000000e+01
2.833000000000e+03,3.000000000000e+01
3.607880000000e+03,3.000000000000e+01
3.631889000000e+03,7.000000000000e+01
3.653928000000e+03,8.000000000000e+01
3.669010000000e+03,5.000000000000e+01
3.686182000000e+03,2.500000000000e+01
3.718020000000e+03,1.000000000000e+02
3.718595000000e+03,7.000000000000e+01
3.721350000000e+03,5.000000000000e+01
3.741638000000e+03,7.000000000000e+01
3.744800000000e+03,5.000000000000e+01
3.754245000000e+03,2.500000000000e+01
3.778046000000e+03,1.500000000000e+02
3.783095000000e+03,1.500000000000e+02
3.875440000000e+03,5.000000000000e+01
3.906177000000e+03,5.000000000000e+01
3.920081000000e+03,7.000000000000e+01
3.994840000000e+03,3.000000000000e+01
3.997793000000e+03,3.000000000000e+01
4.057037000000e+03,1.000000000000e+02
4.065128000000e+03,1.000000000000e+02
4.088337000000e+03,1.500000000000e+02
4.098729000000e+03,8.000000000000e+01
4.109248000000e+03,3.000000000000e+01
4.145122000000e+03,8.000000000000e+01
4.250580000000e+03,5.000000000000e+01
4.292923000000e+03,2.000000000000e+02
4.300490000000e+03,7.000000000000e+01
4.317810000000e+03,1.500000000000e+02
4.322980000000e+03,5.000000000000e+01
4.355477000000e+03,1.000000000000e+03
4.369690000000e+03,7.000000000000e+01
4.386540000000e+03,1.000000000000e+02
4.431685000000e+03,1.500000000000e+02
4.436812000000e+03,2.000000000000e+02
4.475014000000e+03,2.500000000000e+02
4.489880000000e+03,1.300000000000e+02
4.523140000000e+03,1.300000000000e+02
4.556610000000e+03,7.000000000000e+01
4.577209000000e+03,2.500000000000e+02
4.582978000000e+03,1.000000000000e+02
4.592800000000e+03,5.000000000000e+01
4.615292000000e+03,1.500000000000e+02
4.619166000000e+03,3.000000000000e+02
4.633885000000e+03,2.500000000000e+02
4.658876000000e+03,7.000000000000e+02
4.680406000000e+03,1.500000000000e+02
4.691301000000e+03,3.000000000000e+01
4.694360000000e+03,7.000000000000e+01
4.739002000000e+03,1.000000000000e+03
4.762435000000e+03,1.000000000000e+02
4.765744000000e+03,3.000000000000e+02
4.811760000000e+03,1.000000000000e+02
4.825180000000e+03,1.000000000000e+02
4.832077000000e+03,2.500000000000e+02
4.846612000000e+03,2.500000000000e+02
4.857200000000e+03,5.000000000000e+01
4.945590000000e+03,1.000000000000e+02
5.022400000000e+03,7.000000000000e+01
5.086520000000e+03,8.000000000000e+01
5.125730000000e+03,1.300000000000e+02
5.208320000000e+03,1.500000000000e+02
5.308660000000e+03,7.000000000000e+01
5.333410000000e+03,1.500000000000e+02
5.468170000000e+03,7.000000000000e+01
5.681890000000e+03,1.300000000000e+02
5.690350000000e+03,7.000000000000e+01
5.992220000000e+03,7.000000000000e+01
6.420180000000e+03,1.000000000000e+02
6.570070000000e+03,5.000000000000e+01
7.213130000000e+03,8.000000000000e+01
7.289780000000e+03,1.300000000000e+02
7.407020000000e+03,1.300000000000e+02
7.435780000000e+03,7.000000000000e+01
7.524460000000e+03,1.000000000000e+02
7.641160000000e+03,5.000000000000e+01
7.735690000000e+03,8.000000000000e+01
7.933220000000e+03,7.000000000000e+01
7.973620000000e+03,4.000000000000e+01
8.202720000000e+03,7.000000000000e+01
9.238480000000e+03,1.500000000000e+02
9.293820000000e+03,1.500000000000e+02
9.320990000000e+03,7.000000000000e+01
9.361950000000e+03,1.000000000000e+02
9.402820000000e+03,7.000000000000e+01
9.470930000000e+03,7.000000000000e+01
9.577520000000e+03,1.500000000000e+02
9.605800000000e+03,1.500000000000e+02
9.619610000000e+03,1.300000000000e+02
9.663340000000e+03,7.000000000000e+01
9.711600000000e+03,7.000000000000e+01
9.803140000000e+03,1.500000000000e+02
1.022146000000e+04,3.000000000000e+02
