percent,R,G,B
0.000000,201,0,201
2.000000,160,0,170
4.000000,140,0,159
6.000000,164,0,199
8.000000,155,0,202
10.000000,97,0,135
12.000000,141,0,215
14.000000,152,0,255
16.000000,122,0,226
18.000000,88,0,218
20.000000,4,0,247
22.000000,0,92,254
24.000000,0,190,254
26.000000,0,189,232
28.000000,0,144,164
30.000000,0,158,65
32.000000,0,179,50
34.000000,0,177,26
36.000000,0,165,2
38.000000,21,186,0
40.000000,32,128,0
42.000000,56,146,0
44.000000,0,0,0
46.000000,104,160,0
48.000000,135,169,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,134,94,0
56.000000,120,76,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,116,50,0
66.000000,155,63,0
68.000000,106,40,0
70.000000,124,43,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,119,15,0
86.000000,165,16,0
88.000000,157,10,0
90.000000,181,6,0
92.000000,160,1,0
94.000000,144,3,0
96.000000,140,7,0
98.000000,149,12,0
100.000000,100,11,0
