percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,74,0,104
12.000000,153,0,233
14.000000,144,0,240
16.000000,125,0,230
18.000000,82,0,204
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,126,244,0
46.000000,110,169,0
48.000000,34,42,0
50.000000,175,175,0
52.000000,255,204,0
54.000000,79,55,0
56.000000,107,68,0
58.000000,46,26,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,63,27,0
66.000000,149,61,0
68.000000,81,30,0
70.000000,0,0,0
72.000000,89,28,0
74.000000,51,14,0
76.000000,56,14,0
78.000000,107,23,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,57,7,0
86.000000,121,12,0
88.000000,90,6,0
90.000000,85,3,0
92.000000,120,0,0
94.000000,229,5,0
96.000000,242,13,0
98.000000,228,19,0
100.000000,163,18,0
