wavelength,amplitude
2.256760000000e+03,9.000000000000e+01
3.245130000000e+03,6.000000000000e+01
3.265670000000e+03,6.000000000000e+01
3.303110000000e+03,9.000000000000e+01
3.337490000000e+03,1.500000000000e+02
3.344560000000e+03,1.000000000000e+02
3.380910000000e+03,1.500000000000e+02
3.645420000000e+03,1.100000000000e+02
3.759080000000e+03,2.500000000000e+02
3.790830000000e+03,4.000000000000e+02
3.794780000000e+03,4.000000000000e+02
3.849020000000e+03,2.000000000000e+02
3.871640000000e+03,4.000000000000e+02
3.886370000000e+03,2.000000000000e+02
3.916050000000e+03,1.400000000000e+02
3.921540000000e+03,1.200000000000e+02
3.929220000000e+03,2.500000000000e+02
3.949100000000e+03,1.000000000000e+03
3.988520000000e+03,5.000000000000e+02
3.995750000000e+03,4.000000000000e+02
4.031690000000e+03,3.000000000000e+02
4.042910000000e+03,3.000000000000e+02
4.077350000000e+03,3.000000000000e+02
4.086720000000e+03,6.000000000000e+02
4.123230000000e+03,5.000000000000e+02
4.151970000000e+03,1.200000000000e+02
4.196550000000e+03,1.500000000000e+02
4.238380000000e+03,2.000000000000e+02
4.333740000000e+03,5.000000000000e+02
4.429900000000e+03,2.000000000000e+02
4.522370000000e+03,9.000000000000e+01
4.899920000000e+03,9.000000000000e+01
4.920980000000e+03,1.100000000000e+02
4.921790000000e+03,1.100000000000e+02
4.999470000000e+03,8.000000000000e+01
5.183420000000e+03,9.000000000000e+01
