percent,R,G,B
0.000000,235,0,235
2.000000,223,0,237
4.000000,225,0,255
6.000000,203,0,245
8.000000,183,0,238
10.000000,140,0,196
12.000000,125,0,190
14.000000,120,0,201
16.000000,95,0,176
18.000000,61,0,153
20.000000,0,0,44
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,87,108
28.000000,0,169,193
30.000000,0,151,63
32.000000,0,0,0
34.000000,0,142,21
36.000000,0,113,1
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
