percent,R,G,B
0.000000,0,0,0
2.000000,137,0,146
4.000000,155,0,175
6.000000,170,0,205
8.000000,145,0,188
10.000000,137,0,192
12.000000,130,0,198
14.000000,74,0,124
16.000000,91,0,168
18.000000,70,0,174
20.000000,3,0,189
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,167,190
30.000000,0,196,81
32.000000,0,216,61
34.000000,0,252,37
36.000000,0,255,4
38.000000,21,186,0
40.000000,44,178,0
42.000000,87,228,0
44.000000,89,173,0
46.000000,120,185,0
48.000000,166,207,0
50.000000,236,236,0
52.000000,165,132,0
54.000000,183,128,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,196,98,0
62.000000,213,100,0
64.000000,202,88,0
66.000000,216,88,0
68.000000,183,69,0
70.000000,176,61,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,159,11,0
90.000000,109,4,0
92.000000,115,0,0
94.000000,149,3,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
