wavelength,amplitude
3.232633000000e+03,2.000000000000e+00
4.132624000000e+03,2.000000000000e+00
4.602831000000e+03,1.500000000000e+01
4.602898000000e+03,3.000000000000e+01
4.971665000000e+03,5.000000000000e+00
4.971748000000e+03,1.000000000000e+01
6.103542000000e+03,3.000000000000e+02
6.103654000000e+03,4.000000000000e+02
6.707775000000e+03,5.000000000000e+02
6.707926000000e+03,1.000000000000e+03
8.126232000000e+03,1.500000000000e+02
8.126453000000e+03,3.000000000000e+02
1.870301000000e+04,2.000000000000e+00
2.687767000000e+04,1.000000000000e+01
2.687836000000e+04,5.000000000000e+00
