wavelength,amplitude
2.195540000000e+03,9.000000000000e+01
2.578790000000e+03,9.000000000000e+01
2.613400000000e+03,1.000000000000e+02
2.615420000000e+03,1.000000000000e+03
2.619260000000e+03,1.000000000000e+02
2.657800000000e+03,1.500000000000e+02
2.701710000000e+03,2.500000000000e+02
2.754170000000e+03,2.000000000000e+02
2.796630000000e+03,1.500000000000e+02
2.847510000000e+03,1.500000000000e+02
2.894840000000e+03,4.000000000000e+02
2.900300000000e+03,2.500000000000e+02
2.911390000000e+03,5.000000000000e+02
2.963320000000e+03,2.500000000000e+02
2.969820000000e+03,1.300000000000e+02
3.020540000000e+03,1.500000000000e+02
3.056720000000e+03,1.200000000000e+02
3.077600000000e+03,4.000000000000e+02
3.254310000000e+03,2.500000000000e+02
3.397070000000e+03,2.500000000000e+02
3.472480000000e+03,2.500000000000e+02
3.507390000000e+03,5.000000000000e+02
3.554430000000e+03,2.500000000000e+02
4.184250000000e+03,9.000000000000e+01
5.476690000000e+03,1.200000000000e+02
6.221870000000e+03,1.200000000000e+02
6.463120000000e+03,6.000000000000e+01
