percent,R,G,B
0.000000,221,0,221
2.000000,211,0,224
4.000000,149,0,168
6.000000,153,0,184
8.000000,196,0,255
10.000000,117,0,164
12.000000,0,0,0
14.000000,0,0,0
16.000000,47,0,88
18.000000,101,0,251
20.000000,2,0,151
22.000000,0,70,191
24.000000,0,0,0
26.000000,0,86,105
28.000000,0,144,164
30.000000,0,197,82
32.000000,0,203,57
34.000000,0,236,35
36.000000,0,0,0
38.000000,0,0,0
40.000000,44,178,0
42.000000,19,49,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,135,169,0
50.000000,115,115,0
52.000000,0,0,0
54.000000,189,132,0
56.000000,213,135,0
58.000000,105,59,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
