wavelength,amplitude
1.025968100000e+03,1.400000000000e+01
1.026113400000e+03,1.200000000000e+01
1.239925300000e+03,2.500000000000e+01
1.240394600000e+03,2.000000000000e+01
1.367257000000e+03,1.500000000000e+01
1.367708000000e+03,1.500000000000e+01
1.369423000000e+03,2.000000000000e+01
1.476000000000e+03,2.000000000000e+01
1.478004000000e+03,2.500000000000e+01
1.480880000000e+03,2.000000000000e+01
1.482890000000e+03,3.000000000000e+01
1.734852000000e+03,4.000000000000e+01
1.737628000000e+03,5.000000000000e+01
1.750663000000e+03,4.000000000000e+01
1.753474000000e+03,5.000000000000e+01
2.790776000000e+03,1.300000000000e+01
2.795530100000e+03,1.000000000000e+03
2.797998000000e+03,1.500000000000e+01
2.802705600000e+03,6.000000000000e+02
4.390572000000e+03,1.000000000000e+01
4.481126000000e+03,1.400000000000e+01
4.481325000000e+03,1.300000000000e+01
6.346742000000e+03,1.000000000000e+01
6.545973000000e+03,1.100000000000e+01
7.877054000000e+03,1.200000000000e+01
7.896366000000e+03,1.300000000000e+01
8.213987000000e+03,1.000000000000e+01
8.234636000000e+03,1.100000000000e+01
8.734980000000e+03,1.000000000000e+01
8.745663000000e+03,1.100000000000e+01
8.824318000000e+03,1.000000000000e+01
8.835080000000e+03,1.100000000000e+01
9.218250000000e+03,1.400000000000e+01
9.244265000000e+03,1.300000000000e+01
9.327545000000e+03,1.000000000000e+01
9.340542000000e+03,1.000000000000e+01
9.631892000000e+03,1.200000000000e+01
9.632431000000e+03,1.100000000000e+01
1.009216000000e+04,1.400000000000e+01
1.091423000000e+04,1.100000000000e+01
1.095178000000e+04,1.000000000000e+01
