percent,R,G,B
0.000000,183,0,183
2.000000,141,0,150
4.000000,156,0,177
6.000000,211,0,255
8.000000,120,0,156
10.000000,75,0,105
12.000000,80,0,122
14.000000,32,0,54
16.000000,75,0,138
18.000000,45,0,111
20.000000,0,0,0
22.000000,0,16,45
24.000000,0,118,158
26.000000,0,101,124
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,41,28,0
56.000000,73,46,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
