percent,R,G,B
0.000000,251,0,251
2.000000,240,0,255
4.000000,166,0,187
6.000000,142,0,171
8.000000,145,0,188
10.000000,126,0,177
12.000000,123,0,188
14.000000,101,0,168
16.000000,94,0,173
18.000000,46,0,113
20.000000,2,0,112
22.000000,0,43,119
24.000000,0,105,140
26.000000,0,98,121
28.000000,0,50,58
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,10,1
36.000000,0,96,1
38.000000,9,84,0
40.000000,21,84,0
42.000000,73,192,0
44.000000,103,200,0
46.000000,76,117,0
48.000000,89,112,0
50.000000,122,122,0
52.000000,131,105,0
54.000000,76,53,0
56.000000,126,80,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
