percent,R,G,B
0.000000,0,0,0
2.000000,34,0,36
4.000000,175,0,198
6.000000,168,0,203
8.000000,15,0,20
10.000000,86,0,120
12.000000,82,0,125
14.000000,0,0,0
16.000000,93,0,171
18.000000,26,0,66
20.000000,4,0,237
22.000000,0,69,189
24.000000,0,89,119
26.000000,0,103,126
28.000000,0,39,45
30.000000,0,255,106
32.000000,0,168,47
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,140,216,0
48.000000,176,220,0
50.000000,0,0,0
52.000000,149,119,0
54.000000,193,135,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,153,62,0
68.000000,158,59,0
70.000000,183,63,0
72.000000,94,29,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
