wavelength,amplitude
3.001500000000e+02,9.000000000000e+01
3.002000000000e+02,9.000000000000e+01
3.013200000000e+02,5.000000000000e+01
3.014400000000e+02,6.000000000000e+01
3.024500000000e+02,3.000000000000e+01
3.720800000000e+02,1.500000000000e+02
3.763800000000e+02,2.000000000000e+02
1.374690000000e+03,5.000000000000e+01
1.404680000000e+03,5.000000000000e+01
1.506410000000e+03,4.000000000000e+01
1.776570000000e+03,5.000000000000e+01
1.787190000000e+03,4.000000000000e+01
1.798410000000e+03,4.000000000000e+01
1.807090000000e+03,5.000000000000e+01
1.835220000000e+03,4.000000000000e+01
1.853170000000e+03,4.000000000000e+01
1.881910000000e+03,9.000000000000e+01
2.315650000000e+03,1.500000000000e+02
2.420990000000e+03,1.500000000000e+02
2.424730000000e+03,1.500000000000e+02
2.493150000000e+03,6.000000000000e+02
2.515460000000e+03,3.000000000000e+02
2.531540000000e+03,3.000000000000e+02
2.586310000000e+03,3.000000000000e+02
2.594960000000e+03,3.000000000000e+02
2.611810000000e+03,5.000000000000e+02
2.661000000000e+03,5.000000000000e+02
2.671830000000e+03,6.000000000000e+02
2.678090000000e+03,5.000000000000e+02
2.809520000000e+03,5.000000000000e+02
2.839560000000e+03,4.000000000000e+02
2.841720000000e+03,6.000000000000e+02
2.859490000000e+03,4.000000000000e+02
2.871280000000e+03,4.000000000000e+02
2.881150000000e+03,5.000000000000e+02
2.886260000000e+03,5.000000000000e+02
2.901140000000e+03,5.000000000000e+02
2.904720000000e+03,4.000000000000e+02
2.904920000000e+03,6.000000000000e+02
2.917520000000e+03,6.000000000000e+02
2.919050000000e+03,6.000000000000e+02
2.919850000000e+03,7.000000000000e+02
2.920950000000e+03,7.000000000000e+02
2.923490000000e+03,6.000000000000e+02
2.937740000000e+03,5.000000000000e+02
2.947500000000e+03,5.000000000000e+02
2.951240000000e+03,7.000000000000e+02
2.952400000000e+03,6.000000000000e+02
2.977130000000e+03,6.000000000000e+02
2.979660000000e+03,6.000000000000e+02
2.980630000000e+03,6.000000000000e+02
2.984190000000e+03,7.000000000000e+02
3.004150000000e+03,3.000000000000e+02
3.007440000000e+03,4.000000000000e+02
3.009140000000e+03,4.000000000000e+02
3.015400000000e+03,3.000000000000e+02
3.053670000000e+03,5.000000000000e+02
3.056160000000e+03,6.000000000000e+02
3.060250000000e+03,4.000000000000e+02
3.061350000000e+03,4.000000000000e+02
3.092730000000e+03,6.000000000000e+02
3.094450000000e+03,4.000000000000e+02
3.095550000000e+03,4.000000000000e+02
3.124420000000e+03,9.000000000000e+02
3.135480000000e+03,1.000000000000e+03
3.137860000000e+03,9.000000000000e+02
3.145710000000e+03,5.000000000000e+02
3.149280000000e+03,1.000000000000e+03
3.163740000000e+03,1.000000000000e+03
3.179060000000e+03,6.000000000000e+02
3.189790000000e+03,9.000000000000e+02
3.212190000000e+03,9.000000000000e+02
3.257960000000e+03,8.000000000000e+02
3.274220000000e+03,5.000000000000e+02
3.285600000000e+03,1.000000000000e+03
3.301350000000e+03,9.000000000000e+02
3.304960000000e+03,8.000000000000e+02
3.318040000000e+03,6.000000000000e+02
3.327690000000e+03,5.000000000000e+02
3.533050000000e+03,8.000000000000e+02
3.631270000000e+03,7.000000000000e+02
3.711070000000e+03,5.000000000000e+02
4.113700000000e+03,1.500000000000e+02
4.392810000000e+03,6.000000000000e+02
4.405120000000e+03,4.000000000000e+02
4.455230000000e+03,5.000000000000e+02
4.490870000000e+03,4.000000000000e+02
5.414550000000e+03,5.000000000000e+01
6.514210000000e+03,5.000000000000e+01
6.530700000000e+03,7.000000000000e+01
6.544040000000e+03,7.000000000000e+01
6.545750000000e+03,7.000000000000e+01
