percent,R,G,B
0.000000,229,0,229
2.000000,187,0,198
4.000000,149,0,168
6.000000,198,0,239
8.000000,196,0,255
10.000000,165,0,232
12.000000,117,0,178
14.000000,88,0,147
16.000000,62,0,114
18.000000,59,0,146
20.000000,3,0,174
22.000000,0,61,168
24.000000,0,20,27
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,16,6
32.000000,0,141,39
34.000000,0,117,17
36.000000,0,80,1
38.000000,15,132,0
40.000000,23,95,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,46,16,0
72.000000,79,24,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
