percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,75,0,186
20.000000,4,0,245
22.000000,0,93,255
24.000000,0,156,208
26.000000,0,178,218
28.000000,0,223,254
30.000000,0,190,79
32.000000,0,0,0
34.000000,0,143,21
36.000000,0,173,2
38.000000,17,151,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,73,142,0
46.000000,122,188,0
48.000000,140,175,0
50.000000,98,98,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
