wavelength,amplitude
3.529549000000e+02,9.000000000000e+01
3.549620000000e+02,6.000000000000e+01
3.614321000000e+02,9.000000000000e+01
3.624544000000e+02,6.000000000000e+01
4.058538000000e+02,1.500000000000e+02
4.071377000000e+02,1.200000000000e+02
4.450393000000e+02,2.000000000000e+02
4.462552000000e+02,3.000000000000e+02
4.465902000000e+02,2.500000000000e+02
4.478146000000e+02,2.000000000000e+02
4.546540000000e+02,1.500000000000e+02
4.552730000000e+02,2.000000000000e+02
4.562728000000e+02,1.000000000000e+01
4.563485000000e+02,1.200000000000e+02
4.568962000000e+02,9.000000000000e+01
4.607284000000e+02,1.000000000000e+03
4.623908000000e+02,5.000000000000e+02
9.938825000000e+02,6.000000000000e+01
1.068648800000e+03,7.000000000000e+01
1.131722400000e+03,9.000000000000e+01
1.131849000000e+03,1.000000000000e+02
1.229836700000e+03,9.000000000000e+01
1.418377900000e+03,9.000000000000e+01
1.428582200000e+03,9.000000000000e+01
1.436081300000e+03,9.000000000000e+01
1.681684000000e+03,1.200000000000e+02
1.688355300000e+03,2.000000000000e+02
1.888106400000e+03,1.000000000000e+02
1.889712000000e+03,1.000000000000e+02
1.907494000000e+03,2.000000000000e+02
1.916081800000e+03,5.000000000000e+02
1.930034500000e+03,3.000000000000e+02
1.938826900000e+03,2.000000000000e+02
1.945452100000e+03,1.000000000000e+02
2.007009000000e+03,8.000000000000e+01
2.025560000000e+03,8.000000000000e+01
2.085466000000e+03,1.500000000000e+02
2.096106000000e+03,2.000000000000e+02
2.096248000000e+03,1.200000000000e+02
2.562123000000e+03,8.000000000000e+01
2.567121000000e+03,9.000000000000e+01
2.623107000000e+03,8.000000000000e+01
2.629885000000e+03,8.000000000000e+01
2.636069000000e+03,9.000000000000e+01
2.638289000000e+03,8.000000000000e+01
2.644097000000e+03,8.000000000000e+01
2.762921000000e+03,8.000000000000e+01
2.792019000000e+03,9.000000000000e+01
2.794221000000e+03,8.000000000000e+01
2.809485000000e+03,1.000000000000e+02
2.906592000000e+03,8.000000000000e+01
2.906816000000e+03,8.000000000000e+01
2.910061000000e+03,9.000000000000e+01
2.910408000000e+03,9.000000000000e+01
2.911138000000e+03,8.000000000000e+01
2.915122000000e+03,8.000000000000e+01
2.925618000000e+03,8.000000000000e+01
2.932103000000e+03,8.000000000000e+01
2.940653000000e+03,8.000000000000e+01
2.946044000000e+03,9.000000000000e+01
2.955725000000e+03,1.500000000000e+02
2.963236000000e+03,1.500000000000e+02
2.967184000000e+03,1.500000000000e+02
2.972997000000e+03,1.000000000000e+02
2.979461000000e+03,1.000000000000e+02
3.001668000000e+03,1.500000000000e+02
3.017311000000e+03,1.200000000000e+02
3.027016000000e+03,3.000000000000e+02
3.028864000000e+03,3.000000000000e+02
3.030787000000e+03,1.000000000000e+02
3.034461000000e+03,1.200000000000e+02
3.035923000000e+03,1.000000000000e+02
3.037720000000e+03,1.000000000000e+02
3.039586000000e+03,1.000000000000e+02
3.044088000000e+03,1.000000000000e+02
3.045556000000e+03,1.000000000000e+02
3.047556000000e+03,1.200000000000e+02
3.054345000000e+03,1.000000000000e+02
3.054677000000e+03,1.000000000000e+02
3.059106000000e+03,1.000000000000e+02
3.062491000000e+03,1.000000000000e+02
3.063301000000e+03,1.000000000000e+02
3.070887000000e+03,1.000000000000e+02
3.071529000000e+03,1.000000000000e+02
3.075731000000e+03,1.000000000000e+02
3.088166000000e+03,1.200000000000e+02
3.092092000000e+03,1.000000000000e+02
3.092901000000e+03,1.200000000000e+02
3.094006000000e+03,1.000000000000e+02
3.095103000000e+03,1.000000000000e+02
3.097131000000e+03,1.000000000000e+02
3.117980000000e+03,1.000000000000e+02
3.118160000000e+03,1.200000000000e+02
3.141332000000e+03,3.000000000000e+02
3.143721000000e+03,1.000000000000e+02
3.148681000000e+03,1.000000000000e+02
3.164429000000e+03,1.000000000000e+02
3.165648000000e+03,1.000000000000e+02
3.188743000000e+03,1.000000000000e+02
3.194579000000e+03,1.200000000000e+02
3.198586000000e+03,5.000000000000e+02
3.208965000000e+03,6.000000000000e+01
3.209356000000e+03,1.200000000000e+02
3.213735000000e+03,1.200000000000e+02
3.214329000000e+03,1.500000000000e+02
3.218193000000e+03,1.500000000000e+02
3.224818000000e+03,1.200000000000e+02
3.229573000000e+03,1.200000000000e+02
3.230070000000e+03,2.000000000000e+02
3.230419000000e+03,1.200000000000e+02
3.232022000000e+03,1.200000000000e+02
3.232372000000e+03,1.500000000000e+02
3.243396000000e+03,1.000000000000e+02
3.244095000000e+03,1.000000000000e+02
3.248345000000e+03,1.000000000000e+02
3.250355000000e+03,1.000000000000e+02
3.297726000000e+03,1.500000000000e+02
3.309740000000e+03,1.500000000000e+02
3.319722000000e+03,3.000000000000e+02
3.323745000000e+03,1.000000000000e+03
3.327153000000e+03,1.500000000000e+02
3.329158000000e+03,1.000000000000e+02
3.334836000000e+03,2.000000000000e+02
3.344395000000e+03,1.500000000000e+02
3.345453000000e+03,3.000000000000e+02
3.345829000000e+03,1.500000000000e+02
3.355016000000e+03,2.000000000000e+02
3.357820000000e+03,1.200000000000e+02
3.360597000000e+03,2.000000000000e+02
3.362161000000e+03,1.200000000000e+02
3.362707000000e+03,1.000000000000e+02
3.367218000000e+03,1.200000000000e+02
3.371799000000e+03,1.000000000000e+02
3.378216000000e+03,5.000000000000e+02
3.388417000000e+03,1.500000000000e+02
3.388945000000e+03,1.200000000000e+02
3.392798000000e+03,3.000000000000e+02
3.404822000000e+03,1.000000000000e+02
3.406947000000e+03,1.200000000000e+02
3.413148000000e+03,1.000000000000e+02
3.416914000000e+03,1.200000000000e+02
3.417688000000e+03,1.200000000000e+02
3.428687000000e+03,1.200000000000e+02
3.456610000000e+03,1.000000000000e+02
3.459321000000e+03,1.000000000000e+02
3.479519000000e+03,1.500000000000e+02
3.480718000000e+03,2.000000000000e+02
3.481933000000e+03,2.000000000000e+02
3.542847000000e+03,1.200000000000e+02
3.557805000000e+03,1.200000000000e+02
3.561198000000e+03,1.000000000000e+02
3.568502000000e+03,2.500000000000e+02
3.574181000000e+03,1.000000000000e+02
3.574612000000e+03,2.000000000000e+02
3.643927000000e+03,1.500000000000e+02
3.664073000000e+03,2.000000000000e+02
3.694213000000e+03,2.000000000000e+02
3.709622000000e+03,1.500000000000e+02
3.713079000000e+03,2.500000000000e+02
3.727107000000e+03,2.500000000000e+02
3.766259000000e+03,8.000000000000e+02
3.777133000000e+03,1.000000000000e+03
3.818427000000e+03,1.000000000000e+02
3.829749000000e+03,1.200000000000e+02
4.219745000000e+03,1.500000000000e+02
4.233850000000e+03,1.000000000000e+02
4.250649000000e+03,1.200000000000e+02
4.369862000000e+03,1.200000000000e+02
4.379400000000e+03,7.000000000000e+01
4.379550000000e+03,1.500000000000e+02
4.385059000000e+03,1.000000000000e+02
4.391991000000e+03,2.000000000000e+02
4.397990000000e+03,1.500000000000e+02
4.409299000000e+03,1.500000000000e+02
4.413215000000e+03,1.000000000000e+02
4.421389000000e+03,1.000000000000e+02
4.428516000000e+03,1.000000000000e+02
4.428634000000e+03,1.000000000000e+02
4.430904000000e+03,1.500000000000e+02
4.430942000000e+03,1.500000000000e+02
4.457049000000e+03,1.200000000000e+02
4.522720000000e+03,1.000000000000e+02
4.569057000000e+03,1.000000000000e+02
7.213200000000e+03,1.500000000000e+02
7.235188000000e+03,1.500000000000e+02
7.343945000000e+03,1.500000000000e+02
7.492102000000e+03,1.000000000000e+02
7.522818000000e+03,1.500000000000e+02
7.740738000000e+03,1.200000000000e+02
7.926201000000e+03,1.200000000000e+02
8.084345000000e+03,1.000000000000e+02
8.264807000000e+03,1.000000000000e+02
8.314995000000e+03,1.000000000000e+02
8.372106000000e+03,1.000000000000e+02
8.668256000000e+03,1.000000000000e+02
9.079462000000e+03,1.000000000000e+02
9.287563000000e+03,2.000000000000e+02
9.577013000000e+03,1.200000000000e+02
9.808860000000e+03,1.000000000000e+02
