wavelength,amplitude
5.872127000000e+02,3.000000000000e+01
5.871792000000e+02,3.000000000000e+01
5.899114000000e+02,3.000000000000e+01
5.918306000000e+02,7.000000000000e+01
5.959200000000e+02,1.000000000000e+02
5.987056000000e+02,7.000000000000e+01
5.988897000000e+02,3.000000000000e+01
6.000365000000e+02,7.000000000000e+01
6.027263000000e+02,1.300000000000e+02
6.156283000000e+02,1.700000000000e+02
6.186716000000e+02,1.700000000000e+02
6.191023000000e+02,1.300000000000e+02
6.268232000000e+02,2.000000000000e+02
6.297388000000e+02,2.000000000000e+02
7.358962000000e+02,1.000000000000e+03
7.437195000000e+02,4.000000000000e+02
2.974718900000e+03,3.000000000000e+01
2.982669600000e+03,3.000000000000e+01
3.057390700000e+03,3.000000000000e+01
3.369807600000e+03,5.000000000000e+01
3.369907200000e+03,7.000000000000e+01
3.417903100000e+03,5.000000000000e+01
3.418005500000e+03,5.000000000000e+00
3.447702400000e+03,2.000000000000e+01
3.454194400000e+03,1.000000000000e+01
3.460523700000e+03,1.000000000000e+01
3.464338200000e+03,1.000000000000e+01
3.466578100000e+03,2.000000000000e+01
3.472570600000e+03,5.000000000000e+01
3.498063600000e+03,1.000000000000e+01
3.501215900000e+03,2.000000000000e+01
3.515190200000e+03,2.000000000000e+01
3.520471100000e+03,1.000000000000e+02
3.593525700000e+03,5.000000000000e+01
3.593638900000e+03,3.000000000000e+01
3.600168500000e+03,1.000000000000e+01
3.633664000000e+03,1.000000000000e+01
3.682242100000e+03,1.000000000000e+01
3.685735200000e+03,1.000000000000e+01
3.701224400000e+03,4.000000000000e+00
4.537754500000e+03,1.000000000000e+02
4.704394900000e+03,1.500000000000e+02
4.708859400000e+03,1.200000000000e+02
4.710065000000e+03,1.000000000000e+02
4.712063300000e+03,1.500000000000e+02
4.715344000000e+03,1.500000000000e+02
4.752732000000e+03,5.000000000000e+01
4.788925800000e+03,1.000000000000e+02
4.790219500000e+03,5.000000000000e+01
4.827338000000e+03,1.000000000000e+02
4.884917000000e+03,1.000000000000e+02
5.005158700000e+03,5.000000000000e+01
5.037751200000e+03,5.000000000000e+01
5.144938400000e+03,5.000000000000e+01
5.330777500000e+03,6.000000000000e+01
5.341093800000e+03,1.000000000000e+02
5.343283400000e+03,6.000000000000e+01
5.400561800000e+03,2.000000000000e+02
5.562766200000e+03,5.000000000000e+01
5.656658800000e+03,5.000000000000e+01
5.719224800000e+03,5.000000000000e+01
5.748298500000e+03,5.000000000000e+01
5.764418800000e+03,7.000000000000e+01
5.804449600000e+03,5.000000000000e+01
5.820155800000e+03,5.000000000000e+01
5.852487900000e+03,2.000000000000e+02
5.872827500000e+03,5.000000000000e+01
5.881895200000e+03,1.000000000000e+02
5.902462300000e+03,5.000000000000e+00
5.906429400000e+03,5.000000000000e+00
5.944834200000e+03,5.000000000000e+01
5.965471000000e+03,5.000000000000e+01
5.974627300000e+03,5.000000000000e+01
5.975534000000e+03,6.000000000000e+01
5.987907400000e+03,1.500000000000e+01
6.029996900000e+03,1.000000000000e+02
6.074337700000e+03,1.000000000000e+02
6.096163100000e+03,3.000000000000e+01
6.128449900000e+03,1.000000000000e+01
6.143062600000e+03,1.000000000000e+02
6.163593900000e+03,1.000000000000e+02
6.182146000000e+03,1.500000000000e+01
6.217281200000e+03,1.000000000000e+02
6.266495000000e+03,1.000000000000e+02
6.304788900000e+03,1.000000000000e+01
6.328164600000e+03,3.000000000000e+01
6.334427800000e+03,1.000000000000e+02
6.382991700000e+03,1.000000000000e+02
6.402248000000e+03,2.000000000000e+02
6.506528100000e+03,1.500000000000e+02
6.532882200000e+03,1.000000000000e+01
6.598952900000e+03,1.000000000000e+02
6.652092700000e+03,1.500000000000e+01
6.678276200000e+03,5.000000000000e+01
6.717043000000e+03,7.000000000000e+00
6.929467300000e+03,1.000000000000e+03
7.024050400000e+03,3.000000000000e+02
7.032413100000e+03,8.000000000000e+02
7.051292300000e+03,2.000000000000e+01
7.059107400000e+03,1.000000000000e+02
7.173938100000e+03,8.000000000000e+02
7.245166600000e+03,8.000000000000e+02
7.472438600000e+03,3.000000000000e+01
7.488871200000e+03,3.000000000000e+02
7.535774100000e+03,3.000000000000e+02
7.544044300000e+03,1.300000000000e+02
7.724623300000e+03,1.000000000000e+00
7.839052900000e+03,2.000000000000e+00
7.927117700000e+03,3.000000000000e+00
7.936996100000e+03,1.300000000000e+01
7.943181400000e+03,8.000000000000e+01
8.082458000000e+03,6.000000000000e+01
8.118549200000e+03,4.000000000000e+01
8.128910800000e+03,1.200000000000e+01
8.136405400000e+03,1.700000000000e+02
8.259379000000e+03,3.000000000000e+01
8.266077200000e+03,7.000000000000e+01
8.267116200000e+03,1.000000000000e+01
8.300325800000e+03,3.000000000000e+02
8.365746600000e+03,5.000000000000e+01
