percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,66,0,164
20.000000,2,0,118
22.000000,0,82,227
24.000000,0,169,225
26.000000,0,159,195
28.000000,0,133,151
30.000000,0,161,67
32.000000,0,135,38
34.000000,0,140,21
36.000000,0,0,0
38.000000,22,192,0
40.000000,51,207,0
42.000000,12,32,0
44.000000,75,146,0
46.000000,91,141,0
48.000000,144,181,0
50.000000,201,201,0
52.000000,215,172,0
54.000000,199,139,0
56.000000,195,124,0
58.000000,197,112,0
60.000000,197,98,0
62.000000,189,89,0
64.000000,208,91,0
66.000000,190,77,0
68.000000,184,69,0
70.000000,175,60,0
72.000000,155,49,0
74.000000,54,15,0
76.000000,0,0,0
78.000000,254,56,0
80.000000,252,48,0
82.000000,233,37,0
84.000000,243,31,0
86.000000,255,25,0
88.000000,148,10,0
90.000000,50,1,0
92.000000,226,1,0
94.000000,219,5,0
96.000000,0,0,0
98.000000,24,2,0
100.000000,27,3,0
