wavelength,amplitude
2.289987000000e+03,2.000000000000e+02
2.300781000000e+03,8.000000000000e+01
2.310961000000e+03,2.500000000000e+02
2.312344000000e+03,2.000000000000e+02
2.313656000000e+03,1.500000000000e+02
2.313983000000e+03,1.500000000000e+02
2.317165000000e+03,1.500000000000e+02
2.320034000000e+03,3.000000000000e+02
2.321383000000e+03,2.500000000000e+02
2.325802000000e+03,1.500000000000e+02
2.329970000000e+03,1.100000000000e+02
2.337488000000e+03,6.000000000000e+01
2.345543000000e+03,1.500000000000e+02
2.347514000000e+03,5.000000000000e+01
2.943912000000e+03,6.000000000000e+01
2.981646000000e+03,7.000000000000e+01
2.992592000000e+03,6.000000000000e+01
2.994453000000e+03,1.200000000000e+02
3.002485000000e+03,5.000000000000e+02
3.003621000000e+03,2.500000000000e+02
3.012001000000e+03,5.000000000000e+02
3.019143000000e+03,4.000000000000e+01
3.037932000000e+03,2.000000000000e+02
3.050816000000e+03,4.000000000000e+02
3.054312000000e+03,2.000000000000e+02
3.057639000000e+03,2.500000000000e+02
3.064618000000e+03,6.000000000000e+01
3.080752000000e+03,5.000000000000e+01
3.101557000000e+03,3.000000000000e+02
3.101878000000e+03,1.500000000000e+02
3.134104000000e+03,4.000000000000e+02
3.232933000000e+03,1.300000000000e+02
3.243054000000e+03,7.000000000000e+01
3.315663000000e+03,8.000000000000e+01
3.320259000000e+03,4.000000000000e+01
3.322309000000e+03,4.000000000000e+01
3.361554000000e+03,4.000000000000e+01
3.365765000000e+03,4.000000000000e+01
3.366166000000e+03,4.000000000000e+01
3.369566000000e+03,4.000000000000e+02
3.371987000000e+03,5.000000000000e+01
3.380570000000e+03,4.000000000000e+02
3.391043000000e+03,1.500000000000e+02
3.392986000000e+03,4.000000000000e+02
3.413476000000e+03,4.000000000000e+01
3.413936000000e+03,4.000000000000e+01
3.414764000000e+03,1.000000000000e+03
3.423708000000e+03,2.000000000000e+02
3.433556000000e+03,3.000000000000e+02
3.437278000000e+03,1.200000000000e+02
3.446259000000e+03,6.000000000000e+02
3.452889000000e+03,1.500000000000e+02
3.458460000000e+03,6.000000000000e+02
3.461652000000e+03,6.000000000000e+02
3.472545000000e+03,2.000000000000e+02
3.483777000000e+03,7.000000000000e+01
3.492956000000e+03,7.000000000000e+02
3.500851000000e+03,8.000000000000e+01
3.510335000000e+03,3.000000000000e+02
3.515052000000e+03,8.000000000000e+02
3.519765000000e+03,8.000000000000e+01
3.524536000000e+03,1.000000000000e+03
3.548182000000e+03,4.000000000000e+01
3.566372000000e+03,6.000000000000e+02
3.571864000000e+03,1.200000000000e+02
3.597703000000e+03,1.500000000000e+02
3.610462000000e+03,1.500000000000e+02
3.612740000000e+03,6.000000000000e+01
3.619391000000e+03,8.000000000000e+02
3.775571000000e+03,7.000000000000e+01
3.783530000000e+03,9.000000000000e+01
3.807144000000e+03,9.000000000000e+01
3.858297000000e+03,1.500000000000e+02
