wavelength,amplitude
3.481930000000e+03,3.000000000000e+02
3.501500000000e+03,3.000000000000e+02
3.986890000000e+03,3.000000000000e+02
5.044660000000e+03,3.000000000000e+02
5.878040000000e+03,3.000000000000e+02
6.930310000000e+03,3.000000000000e+02
6.972090000000e+03,1.000000000000e+03
7.735140000000e+03,3.000000000000e+02
7.765750000000e+03,3.000000000000e+02
7.791380000000e+03,3.000000000000e+02
8.339120000000e+03,3.000000000000e+02
8.372880000000e+03,1.000000000000e+03
8.529960000000e+03,1.000000000000e+03
8.696230000000e+03,3.000000000000e+02
8.906020000000e+03,3.000000000000e+02
8.942700000000e+03,3.000000000000e+02
9.004750000000e+03,3.000000000000e+02
9.006310000000e+03,3.000000000000e+02
9.016180000000e+03,1.000000000000e+03
9.141300000000e+03,3.000000000000e+02
9.379330000000e+03,3.000000000000e+02
9.468660000000e+03,3.000000000000e+02
9.679130000000e+03,3.000000000000e+02
9.930550000000e+03,3.000000000000e+02
1.009199000000e+04,3.000000000000e+02
1.081745000000e+04,3.000000000000e+02
1.169515000000e+04,3.000000000000e+02
1.177664000000e+04,3.000000000000e+02
1.214818000000e+04,3.000000000000e+02
1.237742000000e+04,3.000000000000e+02
1.240799000000e+04,3.000000000000e+02
1.383433000000e+04,3.000000000000e+02
