wavelength,amplitude
2.001450000000e+03,3.000000000000e+02
2.003730000000e+03,4.000000000000e+02
2.004810000000e+03,3.000000000000e+02
2.010150000000e+03,6.000000000000e+02
2.018140000000e+03,1.000000000000e+03
2.022760000000e+03,5.000000000000e+02
2.028230000000e+03,5.000000000000e+02
2.034440000000e+03,6.000000000000e+02
2.045360000000e+03,9.000000000000e+02
2.058690000000e+03,3.000000000000e+02
2.061690000000e+03,4.000000000000e+02
2.076950000000e+03,2.500000000000e+02
2.079970000000e+03,5.000000000000e+02
2.082540000000e+03,1.000000000000e+02
2.089030000000e+03,1.000000000000e+02
2.089210000000e+03,1.000000000000e+02
2.097600000000e+03,2.000000000000e+02
2.100630000000e+03,2.000000000000e+02
2.117660000000e+03,7.000000000000e+01
2.117960000000e+03,1.500000000000e+02
2.123840000000e+03,7.000000000000e+01
2.137110000000e+03,2.000000000000e+02
2.154590000000e+03,9.000000000000e+01
2.157840000000e+03,4.000000000000e+01
2.158530000000e+03,4.000000000000e+01
2.166900000000e+03,1.100000000000e+02
2.167750000000e+03,4.000000000000e+01
2.171650000000e+03,7.000000000000e+01
2.184680000000e+03,3.000000000000e+01
2.234610000000e+03,4.000000000000e+01
2.252150000000e+03,4.000000000000e+01
2.264600000000e+03,5.000000000000e+01
2.270170000000e+03,3.000000000000e+01
2.283670000000e+03,3.000000000000e+01
2.308310000000e+03,2.500000000000e+01
2.362770000000e+03,3.000000000000e+01
2.377030000000e+03,9.000000000000e+01
2.379390000000e+03,3.000000000000e+01
2.387290000000e+03,6.000000000000e+01
2.395880000000e+03,4.000000000000e+01
2.401130000000e+03,3.000000000000e+01
2.424970000000e+03,5.000000000000e+01
2.450740000000e+03,3.000000000000e+01
2.461420000000e+03,6.000000000000e+01
2.476840000000e+03,3.000000000000e+01
2.498410000000e+03,9.000000000000e+01
2.512870000000e+03,2.500000000000e+01
2.513250000000e+03,8.000000000000e+01
2.515040000000e+03,2.500000000000e+01
2.518440000000e+03,2.500000000000e+01
2.542510000000e+03,3.000000000000e+01
2.566490000000e+03,2.000000000000e+01
2.581960000000e+03,2.500000000000e+01
2.590760000000e+03,3.000000000000e+01
2.613060000000e+03,6.000000000000e+01
2.619940000000e+03,3.000000000000e+01
2.621820000000e+03,2.000000000000e+01
2.637130000000e+03,1.300000000000e+02
2.644110000000e+03,7.000000000000e+01
2.658600000000e+03,7.000000000000e+01
2.659830000000e+03,2.000000000000e+01
2.674570000000e+03,2.000000000000e+01
2.689820000000e+03,7.000000000000e+01
2.699590000000e+03,2.000000000000e+01
2.706700000000e+03,2.000000000000e+01
2.714640000000e+03,1.000000000000e+02
2.715360000000e+03,2.000000000000e+01
2.720040000000e+03,4.000000000000e+01
2.721860000000e+03,3.000000000000e+01
2.730610000000e+03,2.000000000000e+01
2.732800000000e+03,2.000000000000e+01
2.761420000000e+03,2.500000000000e+01
2.770710000000e+03,3.000000000000e+01
2.782550000000e+03,2.500000000000e+01
2.786310000000e+03,2.000000000000e+01
2.796730000000e+03,2.000000000000e+01
2.806910000000e+03,1.000000000000e+02
2.814200000000e+03,2.500000000000e+01
2.838630000000e+03,2.000000000000e+02
2.841600000000e+03,2.500000000000e+01
2.844400000000e+03,8.000000000000e+01
2.850760000000e+03,5.000000000000e+01
2.860960000000e+03,5.000000000000e+01
2.909060000000e+03,3.000000000000e+02
2.912330000000e+03,7.000000000000e+01
2.917260000000e+03,2.000000000000e+01
2.919790000000e+03,7.000000000000e+01
2.931280000000e+03,2.000000000000e+01
2.948230000000e+03,4.000000000000e+01
2.949530000000e+03,5.000000000000e+01
2.962150000000e+03,2.000000000000e+01
2.970970000000e+03,2.500000000000e+01
2.982900000000e+03,2.000000000000e+01
3.017250000000e+03,2.000000000000e+01
3.018040000000e+03,1.500000000000e+02
3.030700000000e+03,4.000000000000e+01
3.040900000000e+03,1.000000000000e+02
3.058660000000e+03,3.000000000000e+02
3.062190000000e+03,2.000000000000e+01
3.077720000000e+03,4.000000000000e+01
3.109380000000e+03,2.000000000000e+01
3.156250000000e+03,1.100000000000e+02
3.232060000000e+03,7.000000000000e+01
3.262290000000e+03,1.100000000000e+02
3.267940000000e+03,1.100000000000e+02
3.269210000000e+03,2.000000000000e+01
3.275200000000e+03,2.000000000000e+01
3.290260000000e+03,4.000000000000e+01
3.301560000000e+03,2.500000000000e+02
3.310910000000e+03,2.000000000000e+01
3.336150000000e+03,3.000000000000e+01
3.370590000000e+03,3.000000000000e+01
3.387840000000e+03,2.000000000000e+01
3.401860000000e+03,2.000000000000e+01
3.504660000000e+03,2.000000000000e+01
3.528600000000e+03,4.000000000000e+01
3.559790000000e+03,3.000000000000e+01
3.560860000000e+03,4.000000000000e+01
3.598110000000e+03,2.000000000000e+01
3.752520000000e+03,1.300000000000e+02
3.782200000000e+03,7.000000000000e+01
3.790140000000e+03,2.000000000000e+01
3.876770000000e+03,2.500000000000e+01
3.963630000000e+03,3.000000000000e+01
3.977230000000e+03,2.500000000000e+01
4.066690000000e+03,3.000000000000e+01
4.112020000000e+03,4.000000000000e+01
4.135780000000e+03,9.000000000000e+01
4.173230000000e+03,4.000000000000e+01
4.175630000000e+03,2.000000000000e+01
4.211860000000e+03,4.000000000000e+01
4.260850000000e+03,1.500000000000e+02
4.293950000000e+03,2.000000000000e+01
4.311400000000e+03,2.000000000000e+01
4.394860000000e+03,2.000000000000e+01
4.420470000000e+03,1.500000000000e+02
4.550410000000e+03,2.000000000000e+01
4.793990000000e+03,2.500000000000e+01
5.202630000000e+03,9.000000000000e+00
5.523530000000e+03,9.000000000000e+00
5.721930000000e+03,6.000000000000e+00
5.780820000000e+03,6.000000000000e+00
2.020260000000e+03,1.000000000000e+03
