percent,R,G,B
0.000000,246,0,246
2.000000,154,0,163
4.000000,175,0,198
6.000000,145,0,176
8.000000,193,0,251
10.000000,176,0,247
12.000000,167,0,255
14.000000,125,0,208
16.000000,133,0,245
18.000000,53,0,132
20.000000,2,0,109
22.000000,0,0,0
24.000000,0,104,139
26.000000,0,101,124
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,83,12
36.000000,0,89,1
38.000000,0,0,0
40.000000,0,0,0
42.000000,31,82,0
44.000000,46,90,0
46.000000,0,0,0
48.000000,86,107,0
50.000000,88,88,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
