percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,79,0,133
16.000000,99,0,182
18.000000,61,0,152
20.000000,4,0,255
22.000000,0,23,65
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,169,193
30.000000,0,155,64
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,142,2
38.000000,20,179,0
40.000000,49,196,0
42.000000,73,192,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,148,104,0
56.000000,252,159,0
58.000000,192,109,0
60.000000,164,82,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,220,89,0
68.000000,243,91,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
