percent,R,G,B
0.000000,158,0,158
2.000000,177,0,188
4.000000,197,0,222
6.000000,154,0,187
8.000000,138,0,179
10.000000,0,0,0
12.000000,0,0,0
14.000000,96,0,161
16.000000,104,0,192
18.000000,0,0,0
20.000000,3,0,166
22.000000,0,53,147
24.000000,0,102,136
26.000000,0,157,193
28.000000,0,122,139
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,89,62,0
56.000000,178,113,0
58.000000,156,88,0
60.000000,189,94,0
62.000000,133,62,0
64.000000,198,86,0
66.000000,187,76,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,163,46,0
76.000000,152,38,0
78.000000,218,48,0
80.000000,215,41,0
82.000000,220,35,0
84.000000,212,27,0
86.000000,180,18,0
88.000000,206,14,0
90.000000,204,7,0
92.000000,221,1,0
94.000000,221,5,0
96.000000,255,13,0
98.000000,222,18,0
100.000000,188,21,0
