percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,121,0,157
10.000000,137,0,192
12.000000,124,0,189
14.000000,130,0,217
16.000000,88,0,162
18.000000,59,0,148
20.000000,3,0,199
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,223,92
32.000000,0,255,72
34.000000,0,139,20
36.000000,0,0,0
38.000000,19,168,0
40.000000,47,190,0
42.000000,42,109,0
44.000000,104,201,0
46.000000,123,189,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,245,155,0
58.000000,247,140,0
60.000000,149,74,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,190,65,0
72.000000,241,76,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,187,24,0
86.000000,173,17,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,22,0,0
94.000000,184,4,0
96.000000,176,9,0
98.000000,0,0,0
100.000000,0,0,0
