wavelength,amplitude
2.447905800000e+03,3.000000000000e+02
2.476412700000e+03,2.500000000000e+02
2.763089900000e+03,4.000000000000e+02
3.114038000000e+03,1.000000000000e+02
3.242698300000e+03,5.000000000000e+02
3.251636100000e+03,1.100000000000e+02
3.258776500000e+03,1.500000000000e+02
3.302126200000e+03,1.500000000000e+02
3.372994300000e+03,2.000000000000e+02
3.404576400000e+03,1.000000000000e+03
3.421221400000e+03,5.000000000000e+02
3.433427800000e+03,5.000000000000e+02
3.441389600000e+03,2.500000000000e+02
3.460738100000e+03,3.000000000000e+02
3.481151600000e+03,4.000000000000e+02
3.489770000000e+03,8.000000000000e+01
3.516943800000e+03,5.000000000000e+02
3.553080300000e+03,5.000000000000e+02
3.571148900000e+03,2.000000000000e+02
3.609554700000e+03,8.000000000000e+02
3.634688400000e+03,8.000000000000e+02
3.690336800000e+03,2.000000000000e+02
3.894198800000e+03,9.000000000000e+01
4.212953700000e+03,1.000000000000e+02
