wavelength,amplitude
3.072410000000e+03,3.000000000000e+02
3.427400000000e+03,5.000000000000e+02
3.449800000000e+03,4.000000000000e+02
3.634200000000e+03,3.000000000000e+02
3.659390000000e+03,3.000000000000e+02
3.689790000000e+03,4.000000000000e+02
3.692500000000e+03,3.000000000000e+02
3.697500000000e+03,3.000000000000e+02
3.702630000000e+03,4.000000000000e+02
3.711720000000e+03,8.000000000000e+02
3.742520000000e+03,3.000000000000e+02
3.745860000000e+03,5.000000000000e+02
3.747090000000e+03,3.000000000000e+02
3.750090000000e+03,5.000000000000e+02
3.795660000000e+03,4.000000000000e+02
3.820530000000e+03,3.000000000000e+02
3.842980000000e+03,3.000000000000e+02
3.877620000000e+03,8.000000000000e+02
3.892150000000e+03,1.000000000000e+03
3.899780000000e+03,4.000000000000e+02
3.910260000000e+03,1.000000000000e+03
3.919100000000e+03,1.000000000000e+03
3.936480000000e+03,8.000000000000e+02
3.944210000000e+03,3.000000000000e+02
3.957740000000e+03,1.000000000000e+03
3.980740000000e+03,5.000000000000e+02
3.995050000000e+03,3.000000000000e+02
3.998960000000e+03,1.000000000000e+03
4.009960000000e+03,5.000000000000e+02
4.051540000000e+03,3.000000000000e+02
4.055200000000e+03,6.000000000000e+02
4.075840000000e+03,6.000000000000e+02
4.086100000000e+03,5.000000000000e+02
4.192920000000e+03,3.000000000000e+02
4.297780000000e+03,6.000000000000e+02
4.336540000000e+03,3.000000000000e+02
4.342120000000e+03,3.000000000000e+02
4.417960000000e+03,1.000000000000e+03
4.432510000000e+03,4.000000000000e+02
4.445410000000e+03,5.000000000000e+02
4.446900000000e+03,6.000000000000e+02
4.453950000000e+03,8.000000000000e+02
4.473230000000e+03,3.000000000000e+02
4.500150000000e+03,6.000000000000e+02
4.525200000000e+03,6.000000000000e+02
4.529210000000e+03,8.000000000000e+02
5.153860000000e+03,4.000000000000e+02
5.169710000000e+03,3.000000000000e+02
5.171580000000e+03,5.000000000000e+02
5.194050000000e+03,3.000000000000e+02
5.208090000000e+03,5.000000000000e+02
5.236260000000e+03,5.000000000000e+02
5.236660000000e+03,3.000000000000e+02
5.246330000000e+03,4.000000000000e+02
5.270640000000e+03,5.000000000000e+02
5.546080000000e+03,8.000000000000e+02
5.576020000000e+03,8.000000000000e+02
5.823930000000e+03,5.000000000000e+02
5.868790000000e+03,3.000000000000e+02
5.946490000000e+03,4.000000000000e+02
6.659050000000e+03,4.000000000000e+02
6.772290000000e+03,3.000000000000e+02
