percent,R,G,B
0.000000,219,0,219
2.000000,236,0,250
4.000000,225,0,255
6.000000,196,0,237
8.000000,156,0,202
10.000000,122,0,171
12.000000,129,0,197
14.000000,124,0,208
16.000000,133,0,246
18.000000,94,0,233
20.000000,2,0,149
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,105,29
34.000000,0,223,33
36.000000,0,232,3
38.000000,19,165,0
40.000000,0,0,0
42.000000,58,151,0
44.000000,113,219,0
46.000000,101,155,0
48.000000,0,0,0
50.000000,182,182,0
52.000000,188,151,0
54.000000,177,124,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,142,49,0
72.000000,174,54,0
74.000000,169,48,0
76.000000,117,29,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
