percent,R,G,B
0.000000,77,0,77
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,103,0,172
16.000000,89,0,165
18.000000,69,0,172
20.000000,4,0,229
22.000000,0,86,236
24.000000,0,191,255
26.000000,0,196,240
28.000000,0,193,220
30.000000,0,227,94
32.000000,0,232,65
34.000000,0,222,33
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,63,50,0
54.000000,154,107,0
56.000000,164,104,0
58.000000,183,103,0
60.000000,146,73,0
62.000000,162,76,0
64.000000,157,69,0
66.000000,190,77,0
68.000000,185,69,0
70.000000,201,69,0
72.000000,195,61,0
74.000000,182,51,0
76.000000,133,33,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
