wavelength,amplitude
2.579310000000e+03,8.000000000000e+01
2.881600000000e+03,1.300000000000e+02
3.959440000000e+03,5.000000000000e+02
4.632280000000e+03,4.000000000000e+02
4.635680000000e+03,4.000000000000e+02
4.639550000000e+03,5.000000000000e+02
4.687800000000e+03,5.000000000000e+02
4.695770000000e+03,8.000000000000e+02
4.709520000000e+03,4.000000000000e+02
4.730670000000e+03,5.000000000000e+02
4.736690000000e+03,7.000000000000e+02
4.744160000000e+03,2.500000000000e+02
4.906990000000e+03,3.000000000000e+02
4.914020000000e+03,4.000000000000e+02
4.924600000000e+03,5.000000000000e+02
4.936000000000e+03,4.000000000000e+02
4.939740000000e+03,8.000000000000e+02
4.940300000000e+03,4.000000000000e+02
4.951370000000e+03,1.000000000000e+03
4.975750000000e+03,3.000000000000e+02
5.018590000000e+03,3.000000000000e+02
5.019760000000e+03,5.000000000000e+02
5.026960000000e+03,5.000000000000e+02
5.033380000000e+03,2.500000000000e+02
5.043830000000e+03,3.000000000000e+02
5.045520000000e+03,8.000000000000e+02
5.053400000000e+03,4.000000000000e+02
5.087120000000e+03,5.000000000000e+02
5.133440000000e+03,7.000000000000e+02
5.139810000000e+03,2.500000000000e+02
5.194430000000e+03,3.000000000000e+02
5.227970000000e+03,3.000000000000e+02
5.531160000000e+03,1.200000000000e+02
5.562060000000e+03,1.200000000000e+02
5.661570000000e+03,9.000000000000e+01
5.668460000000e+03,1.500000000000e+02
5.707610000000e+03,1.500000000000e+02
5.779280000000e+03,2.500000000000e+02
5.835130000000e+03,1.100000000000e+02
5.874720000000e+03,9.000000000000e+01
5.878100000000e+03,9.000000000000e+01
5.879040000000e+03,9.000000000000e+01
5.884720000000e+03,9.000000000000e+01
5.920760000000e+03,1.100000000000e+02
5.986140000000e+03,1.100000000000e+02
5.987140000000e+03,1.200000000000e+02
6.049260000000e+03,9.000000000000e+01
6.055130000000e+03,4.000000000000e+02
6.148230000000e+03,1.500000000000e+02
6.322360000000e+03,1.200000000000e+02
6.359030000000e+03,1.400000000000e+02
6.393180000000e+03,1.100000000000e+02
6.411230000000e+03,1.400000000000e+02
6.486550000000e+03,1.200000000000e+02
6.491750000000e+03,1.100000000000e+02
6.616670000000e+03,1.400000000000e+02
6.747090000000e+03,9.000000000000e+01
6.798600000000e+03,1.400000000000e+02
