percent,R,G,B
0.000000,0,0,0
2.000000,45,0,47
4.000000,175,0,197
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,4,0,209
22.000000,0,90,247
24.000000,0,172,229
26.000000,0,113,139
28.000000,0,223,255
30.000000,0,251,104
32.000000,0,243,69
34.000000,0,217,32
36.000000,0,189,3
38.000000,0,0,0
40.000000,0,0,0
42.000000,46,120,0
44.000000,86,167,0
46.000000,108,166,0
48.000000,142,178,0
50.000000,176,176,0
52.000000,194,155,0
54.000000,171,119,0
56.000000,196,124,0
58.000000,166,94,0
60.000000,126,63,0
62.000000,129,60,0
64.000000,183,80,0
66.000000,172,70,0
68.000000,157,59,0
70.000000,150,51,0
72.000000,120,38,0
74.000000,159,45,0
76.000000,134,34,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
