wavelength,amplitude
1.164418400000e+03,3.000000000000e+01
1.166863500000e+03,3.000000000000e+01
1.169747700000e+03,9.000000000000e+01
1.178961400000e+03,8.000000000000e+01
1.182355200000e+03,3.000000000000e+01
1.186220300000e+03,6.000000000000e+01
1.193448400000e+03,6.000000000000e+01
1.198774500000e+03,7.000000000000e+01
1.219493100000e+03,1.100000000000e+02
1.229013400000e+03,4.000000000000e+01
1.232873900000e+03,4.000000000000e+01
1.238849900000e+03,9.000000000000e+01
1.248606900000e+03,2.000000000000e+02
1.264567700000e+03,4.000000000000e+01
1.271793900000e+03,4.000000000000e+01
1.283697800000e+03,3.000000000000e+01
1.289951500000e+03,7.000000000000e+01
1.290013100000e+03,3.000000000000e+01
1.290013100000e+03,3.000000000000e+01
1.292799800000e+03,3.000000000000e+01
1.302457800000e+03,5.000000000000e+01
1.303118700000e+03,4.000000000000e+01
1.327431400000e+03,4.000000000000e+01
1.348830000000e+03,4.000000000000e+01
1.352976800000e+03,3.000000000000e+01
1.363305900000e+03,3.000000000000e+01
1.364117100000e+03,3.000000000000e+01
1.373172400000e+03,3.000000000000e+01
1.378957200000e+03,1.200000000000e+02
1.382046000000e+03,1.000000000000e+02
1.403900600000e+03,2.000000000000e+02
1.429524800000e+03,8.000000000000e+01
1.447803000000e+03,4.000000000000e+01
1.454286600000e+03,3.000000000000e+01
1.454286600000e+03,3.000000000000e+01
1.461078600000e+03,4.000000000000e+01
1.462659100000e+03,4.000000000000e+01
1.475630600000e+03,6.000000000000e+01
1.482825600000e+03,1.500000000000e+02
1.491973500000e+03,2.500000000000e+01
1.494725600000e+03,2.000000000000e+02
1.498113200000e+03,1.000000000000e+02
1.499370700000e+03,2.000000000000e+02
1.505246200000e+03,1.400000000000e+02
1.506292300000e+03,1.100000000000e+02
1.507628800000e+03,3.000000000000e+01
1.509292000000e+03,6.000000000000e+02
1.520741400000e+03,3.000000000000e+01
1.524571500000e+03,1.500000000000e+02
1.524729500000e+03,9.000000000000e+02
1.524729500000e+03,9.000000000000e+02
1.528283100000e+03,8.000000000000e+01
1.530196900000e+03,6.000000000000e+01
1.534906300000e+03,1.000000000000e+02
1.540504000000e+03,5.000000000000e+01
1.541833700000e+03,6.000000000000e+01
1.542709800000e+03,3.000000000000e+01
1.546824800000e+03,4.000000000000e+01
1.552326800000e+03,1.100000000000e+02
1.554928500000e+03,2.000000000000e+02
1.558347900000e+03,3.000000000000e+01
1.559389300000e+03,4.000000000000e+01
1.561545000000e+03,4.000000000000e+01
1.561545000000e+03,4.000000000000e+01
1.568902100000e+03,3.000000000000e+01
1.573180200000e+03,3.000000000000e+01
1.573818000000e+03,4.000000000000e+01
1.574305900000e+03,2.000000000000e+02
1.579435700000e+03,8.000000000000e+01
1.581398000000e+03,9.000000000000e+01
1.587720500000e+03,4.000000000000e+01
1.589373500000e+03,4.000000000000e+01
1.594034400000e+03,4.000000000000e+01
1.594261100000e+03,4.000000000000e+01
1.621659000000e+03,8.000000000000e+01
1.631090300000e+03,8.000000000000e+01
1.634233700000e+03,1.200000000000e+02
1.659486000000e+03,5.000000000000e+01
1.669231200000e+03,2.000000000000e+02
1.684586700000e+03,5.000000000000e+01
1.684586700000e+03,5.000000000000e+01
1.698495800000e+03,3.000000000000e+01
1.707071000000e+03,8.000000000000e+01
1.713836400000e+03,4.000000000000e+01
1.723131400000e+03,1.500000000000e+02
1.727679900000e+03,5.000000000000e+01
1.735864200000e+03,9.000000000000e+01
1.753828600000e+03,1.200000000000e+02
1.753828600000e+03,1.200000000000e+02
1.766032800000e+03,2.500000000000e+01
1.767161200000e+03,1.200000000000e+02
1.775016000000e+03,2.000000000000e+02
1.777086600000e+03,6.000000000000e+02
1.781861700000e+03,2.500000000000e+02
1.785880300000e+03,3.000000000000e+01
1.833387500000e+03,2.500000000000e+01
1.835074500000e+03,4.000000000000e+01
1.836507500000e+03,8.000000000000e+01
1.838824600000e+03,3.000000000000e+01
1.839525800000e+03,8.000000000000e+01
1.853452300000e+03,4.000000000000e+01
1.867130200000e+03,8.000000000000e+01
1.870410000000e+03,9.000000000000e+01
1.871103800000e+03,3.000000000000e+01
1.879103100000e+03,7.000000000000e+01
1.883058700000e+03,6.000000000000e+02
1.885817100000e+03,3.000000000000e+01
1.889522600000e+03,1.400000000000e+02
1.895008800000e+03,3.000000000000e+01
1.897576900000e+03,3.000000000000e+01
1.898172200000e+03,4.000000000000e+01
1.899044500000e+03,3.000000000000e+01
1.911709200000e+03,4.000000000000e+02
1.928432000000e+03,4.000000000000e+01
1.929244900000e+03,2.500000000000e+02
1.929682900000e+03,4.000000000000e+01
1.939811000000e+03,1.300000000000e+02
1.944461700000e+03,1.500000000000e+02
1.949910200000e+03,4.000000000000e+01
1.954743600000e+03,3.000000000000e+01
1.978844400000e+03,5.000000000000e+01
1.983748600000e+03,4.000000000000e+01
1.990575100000e+03,8.000000000000e+01
2.007757200000e+03,1.400000000000e+02
2.014933000000e+03,2.000000000000e+02
2.036466600000e+03,2.500000000000e+02
2.041575100000e+03,1.500000000000e+02
2.049168900000e+03,3.000000000000e+01
