wavelength,amplitude
1.604010200000e+03,9.000000000000e+00
1.636164700000e+03,2.500000000000e+01
1.644463400000e+03,8.000000000000e+00
1.677844300000e+03,2.000000000000e+01
1.690782500000e+03,7.000000000000e+00
1.714480100000e+03,7.000000000000e+00
1.737173200000e+03,1.400000000000e+01
1.744430500000e+03,1.000000000000e+01
1.764594800000e+03,1.400000000000e+01
1.776557100000e+03,4.000000000000e+01
1.777278300000e+03,2.000000000000e+01
1.786648000000e+03,2.500000000000e+01
1.802939800000e+03,2.000000000000e+01
1.812881900000e+03,2.000000000000e+01
1.817873600000e+03,1.500000000000e+01
1.825326200000e+03,8.000000000000e+00
1.826137700000e+03,1.300000000000e+01
1.845751700000e+03,2.500000000000e+01
1.849683100000e+03,1.300000000000e+01
1.853452300000e+03,9.000000000000e+00
1.903218600000e+03,1.500000000000e+01
1.934369000000e+03,5.000000000000e+01
1.937424500000e+03,1.000000000000e+02
1.940031900000e+03,2.000000000000e+01
1.963142900000e+03,1.100000000000e+01
1.969680700000e+03,1.300000000000e+01
1.971537400000e+03,3.000000000000e+01
1.979764700000e+03,2.500000000000e+01
1.987786800000e+03,9.000000000000e+00
1.989105600000e+03,1.500000000000e+01
1.991583000000e+03,8.000000000000e+00
1.995899100000e+03,1.100000000000e+01
2.020543400000e+03,9.000000000000e+00
2.030645600000e+03,2.000000000000e+01
2.032425600000e+03,3.000000000000e+01
2.035798500000e+03,7.000000000000e+00
2.049391500000e+03,6.000000000000e+01
2.060762100000e+03,9.000000000000e+00
2.062794300000e+03,1.500000000000e+01
2.067510500000e+03,2.000000000000e+01
2.070944300000e+03,8.000000000000e+00
2.070944300000e+03,8.000000000000e+00
2.084596000000e+03,5.000000000000e+01
2.101683900000e+03,1.000000000000e+01
2.101683900000e+03,1.000000000000e+01
2.103344900000e+03,7.000000000000e+01
2.109663100000e+03,8.000000000000e+00
2.128587800000e+03,2.500000000000e+01
2.128634000000e+03,9.000000000000e+01
2.135163100000e+03,7.000000000000e+00
2.144212300000e+03,1.300000000000e+02
2.165210800000e+03,2.000000000000e+01
2.174685300000e+03,2.000000000000e+02
2.180504200000e+03,1.100000000000e+01
2.202223000000e+03,3.000000000000e+01
2.222613400000e+03,1.300000000000e+01
2.234926200000e+03,1.200000000000e+01
2.244977300000e+03,1.400000000000e+01
2.249307500000e+03,1.500000000000e+01
2.249899400000e+03,1.100000000000e+01
2.268838400000e+03,1.500000000000e+01
2.274381600000e+03,5.000000000000e+01
2.274840900000e+03,1.200000000000e+01
2.289276500000e+03,1.500000000000e+01
2.292398700000e+03,6.000000000000e+01
2.308043700000e+03,2.500000000000e+01
2.315502400000e+03,9.000000000000e+00
2.318296900000e+03,4.000000000000e+01
2.340180500000e+03,1.400000000000e+01
2.357104700000e+03,4.000000000000e+01
2.368278100000e+03,1.400000000000e+01
2.383643200000e+03,8.000000000000e+00
2.386808900000e+03,7.000000000000e+00
2.389535800000e+03,2.500000000000e+01
2.403091800000e+03,1.100000000000e+01
2.418058300000e+03,1.000000000000e+01
2.436688700000e+03,2.500000000000e+01
2.440060800000e+03,1.100000000000e+02
2.450967000000e+03,7.000000000000e+00
2.467400300000e+03,5.000000000000e+01
2.467482400000e+03,1.000000000000e+01
2.487168500000e+03,2.000000000000e+02
2.487168500000e+03,2.000000000000e+02
2.490126500000e+03,2.500000000000e+01
2.495812600000e+03,2.000000000000e+01
2.498499600000e+03,6.000000000000e+01
2.508497300000e+03,7.000000000000e+00
2.515577000000e+03,4.000000000000e+01
2.524306500000e+03,9.000000000000e+00
2.539206700000e+03,3.000000000000e+01
2.603137400000e+03,9.000000000000e+00
2.628026900000e+03,2.000000000000e+02
2.639345400000e+03,1.500000000000e+01
2.639345400000e+03,1.500000000000e+01
2.646880400000e+03,9.000000000000e+01
2.650852400000e+03,3.000000000000e+02
2.659450300000e+03,5.000000000000e+02
2.674570000000e+03,9.000000000000e+00
2.677147700000e+03,5.000000000000e+01
2.698424800000e+03,2.000000000000e+01
2.702399500000e+03,2.000000000000e+02
2.705895100000e+03,1.500000000000e+02
2.719033300000e+03,1.300000000000e+02
2.729912300000e+03,1.300000000000e+01
2.733956700000e+03,3.000000000000e+02
2.753853100000e+03,8.000000000000e+00
2.754912200000e+03,3.000000000000e+01
2.769833200000e+03,7.000000000000e+00
2.771659400000e+03,1.000000000000e+02
2.803235700000e+03,2.000000000000e+01
2.818245000000e+03,3.000000000000e+01
2.830291900000e+03,3.000000000000e+02
2.834710700000e+03,1.500000000000e+01
2.893863000000e+03,1.300000000000e+02
2.897871500000e+03,6.000000000000e+01
2.905897400000e+03,8.000000000000e+00
2.912251500000e+03,1.500000000000e+01
2.913538600000e+03,1.500000000000e+01
2.921379200000e+03,7.000000000000e+00
2.929789400000e+03,4.000000000000e+02
2.960749400000e+03,7.000000000000e+00
2.997962200000e+03,6.000000000000e+02
3.002264100000e+03,4.000000000000e+01
3.036442500000e+03,2.000000000000e+01
3.042631800000e+03,8.000000000000e+02
3.064711000000e+03,1.000000000000e+03
3.071933600000e+03,2.000000000000e+01
3.100025200000e+03,2.500000000000e+01
3.139387000000e+03,9.000000000000e+01
3.156562500000e+03,4.000000000000e+01
3.200709700000e+03,4.000000000000e+01
3.204036400000e+03,8.000000000000e+01
3.230283700000e+03,1.200000000000e+01
3.233416700000e+03,7.000000000000e+00
3.251978700000e+03,3.000000000000e+01
3.255908800000e+03,5.000000000000e+01
3.268417000000e+03,1.000000000000e+01
3.281967000000e+03,1.100000000000e+01
