percent,R,G,B
0.000000,255,0,255
2.000000,231,0,245
4.000000,216,0,244
6.000000,136,0,164
8.000000,170,0,220
10.000000,134,0,188
12.000000,53,0,81
14.000000,77,0,128
16.000000,108,0,200
18.000000,69,0,172
20.000000,2,0,115
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,62,77
28.000000,0,67,76
30.000000,0,110,46
32.000000,0,144,41
34.000000,0,75,11
36.000000,0,159,2
38.000000,17,151,0
40.000000,31,124,0
42.000000,53,138,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,39,49,0
50.000000,118,118,0
52.000000,111,89,0
54.000000,25,17,0
56.000000,69,44,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,83,38,0
64.000000,87,38,0
66.000000,0,0,0
68.000000,91,34,0
70.000000,10,3,0
72.000000,79,25,0
74.000000,134,38,0
76.000000,175,44,0
78.000000,39,8,0
80.000000,0,0,0
82.000000,102,16,0
84.000000,89,11,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
