percent,R,G,B
0.000000,255,0,255
2.000000,219,0,233
4.000000,121,0,137
6.000000,0,0,0
8.000000,174,0,226
10.000000,170,0,239
12.000000,128,0,195
14.000000,101,0,168
16.000000,95,0,176
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,78,121,0
48.000000,153,191,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,119,67,0
60.000000,191,95,0
62.000000,197,92,0
64.000000,172,75,0
66.000000,220,90,0
68.000000,236,88,0
70.000000,204,70,0
72.000000,126,39,0
74.000000,0,0,0
76.000000,180,45,0
78.000000,193,43,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,186,18,0
88.000000,148,10,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,188,4,0
96.000000,137,7,0
98.000000,0,0,0
100.000000,0,0,0
