wavelength,amplitude
4.825910000000e+03,1.000000000000e+03
5.400230000000e+03,2.000000000000e+02
5.406810000000e+03,2.000000000000e+02
5.555850000000e+03,2.000000000000e+02
5.660810000000e+03,5.000000000000e+02
6.200300000000e+03,3.000000000000e+02
6.446200000000e+03,2.000000000000e+02
6.487320000000e+03,2.000000000000e+02
6.980220000000e+03,2.000000000000e+02
7.118500000000e+03,2.000000000000e+02
7.141210000000e+03,5.000000000000e+02
7.225160000000e+03,2.000000000000e+02
7.838120000000e+03,2.000000000000e+02
