wavelength,amplitude
5.132660000000e+02,2.000000000000e+00
5.301730000000e+02,3.000000000000e+00
5.894190000000e+02,3.000000000000e+01
6.438780000000e+02,1.500000000000e+01
6.970490000000e+02,3.000000000000e+01
7.111870000000e+02,7.000000000000e+01
7.414560000000e+02,1.100000000000e+02
1.604120000000e+03,1.100000000000e+01
1.760500000000e+03,6.000000000000e+01
2.068920000000e+03,2.000000000000e+01
2.071500000000e+03,1.100000000000e+01
2.075950000000e+03,1.100000000000e+02
2.090290000000e+03,1.100000000000e+01
2.125250000000e+03,1.100000000000e+01
2.143830000000e+03,3.000000000000e+02
2.217080000000e+03,1.100000000000e+02
2.291710000000e+03,6.000000000000e+01
2.333390000000e+03,2.000000000000e+01
2.385340000000e+03,2.000000000000e+01
2.472200000000e+03,6.000000000000e+02
2.496380000000e+03,2.000000000000e+01
2.524240000000e+03,1.100000000000e+01
2.684100000000e+03,1.100000000000e+01
2.711760000000e+03,1.100000000000e+01
3.051360000000e+03,1.100000000000e+01
3.148900000000e+03,6.000000000000e+01
3.161000000000e+03,1.300000000000e+01
3.270990000000e+03,2.000000000000e+01
3.321490000000e+03,1.500000000000e+01
3.340550000000e+03,1.300000000000e+01
3.393030000000e+03,1.300000000000e+01
3.434180000000e+03,1.100000000000e+01
3.461500000000e+03,1.500000000000e+01
3.521390000000e+03,3.000000000000e+01
3.531550000000e+03,3.000000000000e+01
3.541150000000e+03,1.100000000000e+01
3.600600000000e+03,6.000000000000e+01
3.600640000000e+03,1.100000000000e+02
3.662740000000e+03,1.100000000000e+01
3.699580000000e+03,3.000000000000e+01
3.796810000000e+03,4.000000000000e+01
3.801900000000e+03,3.000000000000e+01
3.826660000000e+03,1.100000000000e+01
3.926440000000e+03,3.000000000000e+01
3.940510000000e+03,3.000000000000e+02
3.978150000000e+03,1.100000000000e+01
4.029490000000e+03,2.000000000000e+01
4.083880000000e+03,3.000000000000e+01
4.104280000000e+03,2.000000000000e+01
4.136110000000e+03,2.000000000000e+01
4.193080000000e+03,4.000000000000e+01
4.244400000000e+03,1.000000000000e+03
4.273140000000e+03,1.500000000000e+02
4.287970000000e+03,3.000000000000e+01
4.293970000000e+03,1.500000000000e+01
4.346960000000e+03,1.100000000000e+01
4.377120000000e+03,3.000000000000e+01
4.469470000000e+03,1.100000000000e+01
4.530340000000e+03,3.000000000000e+01
4.571770000000e+03,2.000000000000e+02
4.622420000000e+03,3.000000000000e+01
4.648570000000e+03,1.100000000000e+02
4.730450000000e+03,1.100000000000e+01
4.755300000000e+03,1.100000000000e+01
4.775950000000e+03,3.000000000000e+02
4.782830000000e+03,6.000000000000e+01
4.885590000000e+03,1.500000000000e+01
5.152080000000e+03,1.100000000000e+02
5.522780000000e+03,6.000000000000e+01
5.635990000000e+03,6.000000000000e+01
5.699150000000e+03,3.000000000000e+01
6.199080000000e+03,1.100000000000e+01
6.458330000000e+03,1.100000000000e+02
6.555620000000e+03,1.100000000000e+01
6.560810000000e+03,6.000000000000e+01
6.775070000000e+03,3.000000000000e+01
8.603960000000e+03,2.000000000000e+01
9.479320000000e+03,1.100000000000e+01
9.689050000000e+03,2.000000000000e+01
