percent,R,G,B
0.000000,167,0,167
2.000000,164,0,174
4.000000,189,0,214
6.000000,116,0,140
8.000000,118,0,153
10.000000,171,0,240
12.000000,167,0,255
14.000000,85,0,141
16.000000,55,0,102
18.000000,72,0,178
20.000000,3,0,204
22.000000,0,62,169
24.000000,0,165,220
26.000000,0,139,171
28.000000,0,76,87
30.000000,0,0,0
32.000000,0,95,27
34.000000,0,177,26
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,49,130,0
44.000000,71,138,0
46.000000,105,161,0
48.000000,97,121,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,4,2,0
60.000000,95,47,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,172,70,0
68.000000,159,60,0
70.000000,139,48,0
72.000000,0,0,0
74.000000,124,35,0
76.000000,73,18,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
