percent,R,G,B
0.000000,192,0,192
2.000000,89,0,95
4.000000,106,0,120
6.000000,0,0,0
8.000000,165,0,214
10.000000,182,0,255
12.000000,133,0,203
14.000000,75,0,125
16.000000,54,0,100
18.000000,98,0,244
20.000000,0,0,16
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,138,170
28.000000,0,173,197
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,212,3
38.000000,22,193,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,115,115,0
52.000000,101,81,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
