wavelength,amplitude
2.322580000000e+03,4.000000000000e+01
2.361920000000e+03,3.000000000000e+01
2.382890000000e+03,3.000000000000e+01
2.383400000000e+03,2.500000000000e+01
2.429520000000e+03,2.500000000000e+01
2.440340000000e+03,4.000000000000e+01
2.509700000000e+03,4.000000000000e+01
2.515750000000e+03,2.000000000000e+01
2.545700000000e+03,4.000000000000e+01
2.555360000000e+03,6.000000000000e+01
2.625880000000e+03,2.500000000000e+01
2.652660000000e+03,4.000000000000e+01
2.703730000000e+03,4.000000000000e+01
2.718540000000e+03,2.000000000000e+01
2.728940000000e+03,1.500000000000e+01
2.826680000000e+03,2.000000000000e+01
2.862940000000e+03,3.000000000000e+01
2.907210000000e+03,1.500000000000e+01
2.924020000000e+03,2.000000000000e+01
2.968660000000e+03,2.500000000000e+01
2.977680000000e+03,1.500000000000e+01
2.986200000000e+03,5.000000000000e+01
3.083960000000e+03,2.000000000000e+01
3.123700000000e+03,2.500000000000e+01
3.191190000000e+03,5.000000000000e+01
3.197130000000e+03,2.000000000000e+01
3.263140000000e+03,6.000000000000e+01
3.271610000000e+03,6.000000000000e+01
3.280550000000e+03,2.500000000000e+02
3.283570000000e+03,2.500000000000e+02
3.289140000000e+03,3.000000000000e+01
3.294280000000e+03,2.000000000000e+01
3.300460000000e+03,3.000000000000e+01
3.323090000000e+03,4.000000000000e+02
3.338540000000e+03,4.000000000000e+01
3.360800000000e+03,3.000000000000e+01
3.368380000000e+03,4.000000000000e+01
3.372250000000e+03,1.200000000000e+02
3.396820000000e+03,6.000000000000e+02
3.399700000000e+03,9.000000000000e+01
3.406550000000e+03,1.500000000000e+01
3.412270000000e+03,9.000000000000e+01
3.421220000000e+03,4.000000000000e+01
3.434890000000e+03,9.000000000000e+02
3.440530000000e+03,1.500000000000e+02
3.455220000000e+03,4.000000000000e+01
3.457070000000e+03,2.000000000000e+01
3.457930000000e+03,2.500000000000e+01
3.462040000000e+03,6.000000000000e+02
3.469620000000e+03,2.000000000000e+01
3.470660000000e+03,5.000000000000e+02
3.474780000000e+03,5.000000000000e+02
3.478910000000e+03,2.000000000000e+02
3.498730000000e+03,1.300000000000e+02
3.502520000000e+03,6.000000000000e+02
3.507320000000e+03,3.000000000000e+02
3.528020000000e+03,9.000000000000e+02
3.538140000000e+03,9.000000000000e+01
3.541910000000e+03,3.000000000000e+01
3.543950000000e+03,1.300000000000e+02
3.549540000000e+03,2.000000000000e+02
3.564130000000e+03,2.500000000000e+01
3.570180000000e+03,1.300000000000e+02
3.583100000000e+03,5.000000000000e+02
3.596190000000e+03,5.000000000000e+02
3.597150000000e+03,6.000000000000e+02
3.605860000000e+03,3.000000000000e+01
3.612470000000e+03,3.000000000000e+02
3.614780000000e+03,2.500000000000e+01
3.620460000000e+03,2.000000000000e+01
3.626590000000e+03,2.000000000000e+02
3.639510000000e+03,3.000000000000e+01
3.654870000000e+03,4.000000000000e+01
3.657990000000e+03,9.000000000000e+02
3.661860000000e+03,3.000000000000e+01
3.666220000000e+03,1.400000000000e+02
3.666910000000e+03,2.000000000000e+01
3.681040000000e+03,6.000000000000e+01
3.690700000000e+03,2.000000000000e+02
3.692360000000e+03,1.000000000000e+03
3.695520000000e+03,1.000000000000e+02
3.698260000000e+03,3.000000000000e+01
3.698600000000e+03,4.000000000000e+01
3.700910000000e+03,8.000000000000e+02
3.713020000000e+03,1.000000000000e+02
3.735280000000e+03,7.000000000000e+01
3.737270000000e+03,4.000000000000e+01
3.744170000000e+03,4.000000000000e+01
3.748220000000e+03,1.300000000000e+02
3.754120000000e+03,2.500000000000e+01
3.754270000000e+03,4.000000000000e+01
3.755580000000e+03,5.000000000000e+01
3.760400000000e+03,1.100000000000e+02
3.765080000000e+03,2.500000000000e+02
3.769970000000e+03,5.000000000000e+01
3.778130000000e+03,4.000000000000e+01
3.788470000000e+03,1.100000000000e+02
3.792180000000e+03,1.400000000000e+02
3.793220000000e+03,4.000000000000e+02
3.799310000000e+03,5.000000000000e+02
3.805920000000e+03,8.000000000000e+01
3.806760000000e+03,1.400000000000e+02
3.815010000000e+03,5.000000000000e+01
3.816470000000e+03,8.000000000000e+01
3.818190000000e+03,1.400000000000e+02
3.822260000000e+03,4.000000000000e+02
3.828480000000e+03,2.500000000000e+02
3.833890000000e+03,2.000000000000e+02
3.856520000000e+03,6.000000000000e+02
3.870010000000e+03,5.000000000000e+01
3.877340000000e+03,4.000000000000e+01
3.922190000000e+03,2.500000000000e+01
3.934230000000e+03,2.000000000000e+02
3.942720000000e+03,6.000000000000e+01
3.958860000000e+03,4.000000000000e+02
3.975310000000e+03,4.000000000000e+01
3.984400000000e+03,2.500000000000e+01
3.995610000000e+03,2.500000000000e+01
3.996150000000e+03,4.000000000000e+01
4.082780000000e+03,6.000000000000e+01
4.121680000000e+03,1.200000000000e+02
4.128870000000e+03,1.500000000000e+02
4.135270000000e+03,2.000000000000e+02
4.154370000000e+03,2.500000000000e+01
4.196500000000e+03,4.000000000000e+01
4.211140000000e+03,4.000000000000e+02
4.288710000000e+03,9.000000000000e+01
4.374800000000e+03,4.000000000000e+02
4.675030000000e+03,1.500000000000e+01
5.354400000000e+03,1.400000000000e+01
5.599420000000e+03,1.500000000000e+01
5.983600000000e+03,1.400000000000e+01
