percent,R,G,B
0.000000,255,0,255
2.000000,209,0,222
4.000000,186,0,211
6.000000,115,0,139
8.000000,153,0,198
10.000000,141,0,197
12.000000,104,0,159
14.000000,113,0,188
16.000000,75,0,139
18.000000,0,0,0
20.000000,0,0,21
22.000000,0,32,87
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,8,71,0
40.000000,15,63,0
42.000000,0,0,0
44.000000,36,69,0
46.000000,44,68,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,77,54,0
56.000000,52,33,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
