percent,R,G,B
0.000000,135,0,135
2.000000,0,0,0
4.000000,0,0,0
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,138,0,210
14.000000,139,0,231
16.000000,105,0,194
18.000000,85,0,211
20.000000,4,0,217
22.000000,0,60,166
24.000000,0,118,157
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,139,48,0
72.000000,127,40,0
74.000000,164,46,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,212,40,0
82.000000,244,39,0
84.000000,0,0,0
86.000000,213,21,0
88.000000,198,13,0
90.000000,234,9,0
92.000000,255,1,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,153,12,0
100.000000,224,25,0
