wavelength,amplitude
1.875564000000e+03,6.000000000000e+02
1.888043000000e+03,6.000000000000e+02
1.903221000000e+03,6.000000000000e+02
1.916816000000e+03,2.500000000000e+02
1.939043000000e+03,2.500000000000e+02
1.939505000000e+03,2.500000000000e+02
2.357916000000e+03,2.000000000000e+02
2.402720000000e+03,1.000000000000e+03
2.455531000000e+03,2.500000000000e+02
2.456438000000e+03,2.000000000000e+02
2.456570000000e+03,5.000000000000e+02
2.478930000000e+03,4.000000000000e+02
2.498420000000e+03,2.000000000000e+02
2.498570000000e+03,2.000000000000e+02
2.507010000000e+03,3.000000000000e+02
2.661610000000e+03,4.000000000000e+02
2.678760000000e+03,9.000000000000e+02
2.692060000000e+03,4.000000000000e+02
2.712410000000e+03,2.500000000000e+02
2.734350000000e+03,4.000000000000e+02
2.945670000000e+03,2.500000000000e+02
2.965550000000e+03,2.000000000000e+02
2.976584000000e+03,2.000000000000e+02
