wavelength,amplitude
2.076430000000e+03,2.000000000000e+02
2.083780000000e+03,2.500000000000e+02
2.090220000000e+03,2.000000000000e+02
2.255530000000e+03,6.000000000000e+01
2.272091000000e+03,7.000000000000e+01
2.279582000000e+03,7.000000000000e+01
2.317784000000e+03,4.000000000000e+01
2.549560000000e+03,5.000000000000e+01
2.609062000000e+03,3.000000000000e+01
2.612060000000e+03,8.000000000000e+01
2.642946000000e+03,4.000000000000e+01
2.659617000000e+03,4.000000000000e+01
2.719510000000e+03,6.000000000000e+01
2.735727000000e+03,1.500000000000e+02
2.810551000000e+03,1.500000000000e+02
2.829149000000e+03,4.000000000000e+01
2.854075000000e+03,6.000000000000e+01
2.861408000000e+03,4.000000000000e+01
2.866653000000e+03,5.000000000000e+01
2.874984000000e+03,1.500000000000e+02
2.886528000000e+03,7.000000000000e+01
2.908883000000e+03,3.000000000000e+01
2.916251000000e+03,1.000000000000e+02
2.949492000000e+03,3.000000000000e+01
2.965166000000e+03,5.000000000000e+01
2.976923000000e+03,5.000000000000e+01
2.988945000000e+03,1.300000000000e+02
2.994967000000e+03,4.000000000000e+01
3.006588000000e+03,4.000000000000e+01
3.064834000000e+03,4.000000000000e+01
3.096565000000e+03,3.000000000000e+01
3.099284000000e+03,8.000000000000e+01
3.100836000000e+03,7.000000000000e+01
3.294109000000e+03,4.000000000000e+01
3.301593000000e+03,3.000000000000e+01
3.339555000000e+03,8.000000000000e+01
3.368455000000e+03,3.000000000000e+01
3.392533000000e+03,3.000000000000e+01
3.417332000000e+03,3.000000000000e+02
3.428319000000e+03,4.000000000000e+02
3.430764000000e+03,4.000000000000e+01
3.436737000000e+03,6.000000000000e+02
3.498944000000e+03,8.000000000000e+02
3.514491000000e+03,6.000000000000e+01
3.539368000000e+03,7.000000000000e+01
3.570606000000e+03,6.000000000000e+01
3.587204000000e+03,4.000000000000e+01
3.589220000000e+03,6.000000000000e+02
3.593029000000e+03,6.000000000000e+02
3.596185000000e+03,6.000000000000e+02
3.599769000000e+03,1.200000000000e+02
3.626740000000e+03,3.000000000000e+01
3.634931000000e+03,3.000000000000e+02
3.661364000000e+03,6.000000000000e+02
3.663378000000e+03,8.000000000000e+01
3.669546000000e+03,6.000000000000e+01
3.716998000000e+03,4.000000000000e+01
3.726096000000e+03,5.000000000000e+01
3.726926000000e+03,8.000000000000e+02
3.728026000000e+03,1.000000000000e+03
3.730432000000e+03,6.000000000000e+02
3.739470000000e+03,4.000000000000e+01
3.742287000000e+03,3.000000000000e+02
3.742798000000e+03,8.000000000000e+01
3.744396000000e+03,4.000000000000e+01
3.745592000000e+03,2.500000000000e+02
3.753546000000e+03,7.000000000000e+01
3.755937000000e+03,8.000000000000e+01
3.759838000000e+03,1.100000000000e+02
3.760019000000e+03,3.000000000000e+01
3.761511000000e+03,5.000000000000e+01
3.767353000000e+03,5.000000000000e+01
3.777588000000e+03,1.400000000000e+02
3.781171000000e+03,4.000000000000e+01
3.782749000000e+03,5.000000000000e+01
3.786065000000e+03,4.000000000000e+02
3.790521000000e+03,5.000000000000e+02
3.798054000000e+03,7.000000000000e+01
3.798899000000e+03,7.000000000000e+02
3.799353000000e+03,7.000000000000e+02
3.812739000000e+03,5.000000000000e+01
3.817293000000e+03,7.000000000000e+01
3.819039000000e+03,7.000000000000e+01
3.822091000000e+03,6.000000000000e+01
3.824938000000e+03,5.000000000000e+01
3.831795000000e+03,7.000000000000e+01
3.839699000000e+03,8.000000000000e+01
3.846672000000e+03,4.000000000000e+01
3.850441000000e+03,7.000000000000e+01
3.856458000000e+03,4.000000000000e+01
3.857551000000e+03,1.200000000000e+02
3.862690000000e+03,6.000000000000e+01
3.867844000000e+03,1.200000000000e+02
3.892230000000e+03,6.000000000000e+01
3.909085000000e+03,7.000000000000e+01
3.923486000000e+03,1.400000000000e+02
3.925930000000e+03,3.000000000000e+02
3.931787000000e+03,5.000000000000e+01
3.945586000000e+03,7.000000000000e+01
3.950230000000e+03,4.000000000000e+01
3.978449000000e+03,5.000000000000e+01
3.979420000000e+03,5.000000000000e+01
3.984862000000e+03,8.000000000000e+01
4.022168000000e+03,1.400000000000e+02
4.023832000000e+03,5.000000000000e+01
4.051402000000e+03,1.300000000000e+02
4.054050000000e+03,6.000000000000e+01
4.064456000000e+03,3.000000000000e+01
4.068367000000e+03,7.000000000000e+01
4.076730000000e+03,9.000000000000e+01
4.080599000000e+03,5.000000000000e+02
4.097787000000e+03,8.000000000000e+01
4.112741000000e+03,1.500000000000e+02
4.144160000000e+03,2.000000000000e+02
4.145737000000e+03,6.000000000000e+01
4.167514000000e+03,8.000000000000e+01
4.197572000000e+03,5.000000000000e+01
4.198864000000e+03,5.000000000000e+01
4.199892000000e+03,7.000000000000e+02
4.206020000000e+03,1.400000000000e+02
4.212062000000e+03,5.000000000000e+02
4.214445000000e+03,7.000000000000e+01
4.217263000000e+03,8.000000000000e+01
4.220675000000e+03,3.000000000000e+01
4.230309000000e+03,5.000000000000e+01
4.241058000000e+03,7.000000000000e+01
4.243058000000e+03,7.000000000000e+01
4.246736000000e+03,3.000000000000e+01
4.284330000000e+03,7.000000000000e+01
4.295932000000e+03,5.000000000000e+01
4.297714000000e+03,3.000000000000e+02
4.307604000000e+03,8.000000000000e+01
4.318441000000e+03,3.000000000000e+01
4.319871000000e+03,5.000000000000e+01
4.342073000000e+03,5.000000000000e+01
4.354130000000e+03,6.000000000000e+01
4.361204000000e+03,8.000000000000e+01
4.372200000000e+03,2.000000000000e+02
4.385393000000e+03,8.000000000000e+01
