percent,R,G,B
0.000000,255,0,255
2.000000,196,0,208
4.000000,176,0,199
6.000000,171,0,207
8.000000,160,0,207
10.000000,166,0,233
12.000000,134,0,204
14.000000,124,0,208
16.000000,101,0,187
18.000000,73,0,182
20.000000,3,0,184
22.000000,0,55,151
24.000000,0,107,143
26.000000,0,94,116
28.000000,0,107,122
30.000000,0,78,32
32.000000,0,120,34
34.000000,0,157,23
36.000000,0,77,1
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,12,24,0
46.000000,65,100,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
