wavelength,amplitude
9.068850000000e+02,4.000000000000e+02
9.104840000000e+02,3.000000000000e+02
9.127350000000e+02,2.500000000000e+02
9.374210000000e+02,2.500000000000e+02
9.376840000000e+02,3.000000000000e+02
1.014449000000e+03,2.500000000000e+02
1.250578000000e+03,4.000000000000e+02
1.253805000000e+03,9.000000000000e+02
1.259518000000e+03,1.000000000000e+03
4.153064000000e+03,2.000000000000e+02
4.162665000000e+03,2.500000000000e+02
5.428667000000e+03,1.400000000000e+02
5.432815000000e+03,2.500000000000e+02
5.453828000000e+03,4.000000000000e+02
5.473620000000e+03,1.500000000000e+02
5.509718000000e+03,1.500000000000e+02
5.606151000000e+03,1.500000000000e+02
5.639972000000e+03,1.500000000000e+02
5.659985000000e+03,1.200000000000e+02
7.578909000000e+03,1.500000000000e+02
7.629740000000e+03,1.200000000000e+02
7.967371000000e+03,8.000000000000e+01
8.314594000000e+03,1.200000000000e+02
