wavelength,amplitude
1.274938000000e+03,8.000000000000e+02
1.327378000000e+03,8.000000000000e+02
1.354955000000e+03,8.000000000000e+02
1.358009000000e+03,6.000000000000e+02
1.384656000000e+03,8.000000000000e+02
1.387565000000e+03,1.000000000000e+03
1.407784000000e+03,6.000000000000e+02
1.436447000000e+03,8.000000000000e+02
1.498549000000e+03,8.000000000000e+02
1.513255000000e+03,8.000000000000e+02
1.524367000000e+03,8.000000000000e+02
1.565501000000e+03,8.000000000000e+02
1.576099000000e+03,9.000000000000e+02
1.581353000000e+03,8.000000000000e+02
1.606952000000e+03,1.000000000000e+03
1.814964000000e+03,7.000000000000e+02
2.054734000000e+03,1.000000000000e+02
2.170855000000e+03,1.000000000000e+02
4.711680000000e+03,2.000000000000e+02
5.568120000000e+03,4.000000000000e+02
5.639770000000e+03,2.000000000000e+02
6.005570000000e+03,5.000000000000e+02
6.079670000000e+03,2.000000000000e+02
6.130000000000e+03,3.000000000000e+02
