wavelength,amplitude
1.871154000000e+03,4.000000000000e+02
1.882568000000e+03,2.000000000000e+02
1.950393000000e+03,3.000000000000e+02
2.039792000000e+03,3.000000000000e+01
2.049577000000e+03,6.000000000000e+01
2.068344000000e+03,4.000000000000e+02
2.098424000000e+03,2.000000000000e+01
2.139698000000e+03,4.000000000000e+01
2.144841000000e+03,4.000000000000e+01
2.175818000000e+03,6.000000000000e+02
2.179190000000e+03,1.000000000000e+02
2.208430000000e+03,1.200000000000e+02
2.262483000000e+03,1.200000000000e+02
2.306507000000e+03,1.200000000000e+02
2.311463000000e+03,1.000000000000e+03
2.373631000000e+03,1.500000000000e+02
2.383616000000e+03,1.200000000000e+02
2.445502000000e+03,1.500000000000e+02
2.478316000000e+03,1.500000000000e+02
2.528509000000e+03,8.000000000000e+02
2.598048000000e+03,6.000000000000e+02
2.598084000000e+03,2.000000000000e+02
2.612304000000e+03,1.200000000000e+02
2.670630000000e+03,1.200000000000e+02
2.769931000000e+03,1.500000000000e+02
2.877913000000e+03,4.000000000000e+02
3.029809000000e+03,2.000000000000e+02
3.232495000000e+03,2.500000000000e+02
3.267491000000e+03,3.000000000000e+02
9.518680000000e+03,1.500000000000e+02
9.949140000000e+03,1.500000000000e+02
1.026084900000e+04,1.200000000000e+02
1.067724600000e+04,4.000000000000e+02
1.074189800000e+04,3.000000000000e+02
1.083957100000e+04,2.500000000000e+02
1.087969800000e+04,1.500000000000e+02
1.101272800000e+04,1.200000000000e+02
1.126608200000e+04,6.000000000000e+01
1.186322900000e+04,1.200000000000e+01
