wavelength,amplitude
2.552350000000e+03,1.000000000000e+02
2.560232000000e+03,8.000000000000e+01
3.353724000000e+03,4.000000000000e+02
3.359668000000e+03,7.000000000000e+01
3.361257000000e+03,6.000000000000e+01
3.361926000000e+03,6.000000000000e+01
3.368936000000e+03,1.400000000000e+02
3.372150000000e+03,2.500000000000e+02
3.535713000000e+03,1.000000000000e+02
3.558534000000e+03,2.500000000000e+02
3.567702000000e+03,2.000000000000e+02
3.572530000000e+03,5.000000000000e+02
3.576340000000e+03,4.000000000000e+02
3.580928000000e+03,3.000000000000e+02
3.589633000000e+03,1.400000000000e+02
3.590474000000e+03,1.400000000000e+02
3.613831000000e+03,1.000000000000e+03
3.630742000000e+03,7.000000000000e+02
3.642782000000e+03,5.000000000000e+02
3.645308000000e+03,2.500000000000e+02
3.651798000000e+03,2.000000000000e+02
4.246820000000e+03,5.000000000000e+02
4.314082000000e+03,1.500000000000e+02
4.320745000000e+03,1.200000000000e+02
4.324998000000e+03,9.000000000000e+01
4.374462000000e+03,7.000000000000e+01
5.526785000000e+03,2.500000000000e+01
