wavelength,amplitude
2.706738000000e+03,1.500000000000e+01
2.711341000000e+03,2.500000000000e+01
2.965879000000e+03,1.500000000000e+01
2.974010000000e+03,5.000000000000e+01
2.980755000000e+03,6.000000000000e+01
2.988965000000e+03,1.500000000000e+01
3.015367000000e+03,9.000000000000e+01
3.019349000000e+03,1.200000000000e+02
3.030759000000e+03,1.500000000000e+01
3.255676000000e+03,7.000000000000e+01
3.269897000000e+03,2.000000000000e+02
3.273628000000e+03,2.500000000000e+02
3.431351000000e+03,1.200000000000e+01
3.435541000000e+03,2.500000000000e+01
3.457442000000e+03,1.200000000000e+01
3.907484000000e+03,9.000000000000e+02
3.911812000000e+03,1.000000000000e+03
3.933375000000e+03,2.000000000000e+02
3.996601000000e+03,2.500000000000e+02
4.020387000000e+03,9.000000000000e+02
4.023678000000e+03,9.000000000000e+02
4.030622000000e+03,1.000000000000e+01
4.043803000000e+03,1.000000000000e+01
4.047797000000e+03,1.200000000000e+02
4.054544000000e+03,2.500000000000e+02
4.056593000000e+03,1.000000000000e+01
4.082387000000e+03,2.500000000000e+02
4.087150000000e+03,1.500000000000e+01
4.132984000000e+03,2.000000000000e+01
4.140272000000e+03,2.500000000000e+01
4.152341000000e+03,3.000000000000e+01
4.165187000000e+03,5.000000000000e+01
4.238053000000e+03,1.500000000000e+01
4.729209000000e+03,2.000000000000e+01
4.734109000000e+03,2.500000000000e+01
4.737647000000e+03,3.000000000000e+01
4.741024000000e+03,3.000000000000e+01
4.743821000000e+03,5.000000000000e+01
4.779354000000e+03,1.000000000000e+01
5.064306000000e+03,1.100000000000e+01
5.070257000000e+03,2.500000000000e+01
5.075820000000e+03,1.100000000000e+01
5.081561000000e+03,9.000000000000e+01
5.083721000000e+03,5.000000000000e+01
5.085549000000e+03,5.000000000000e+01
5.087123000000e+03,1.500000000000e+01
5.089930000000e+03,1.200000000000e+01
5.096721000000e+03,1.500000000000e+01
5.099274000000e+03,2.500000000000e+01
5.101119000000e+03,1.500000000000e+01
5.116648000000e+03,1.400000000000e+01
5.210547000000e+03,1.500000000000e+01
5.219634000000e+03,1.200000000000e+01
5.258364000000e+03,1.200000000000e+01
5.349342000000e+03,1.500000000000e+01
5.356097000000e+03,2.500000000000e+01
5.375373000000e+03,1.200000000000e+01
5.392058000000e+03,1.500000000000e+01
5.446195000000e+03,1.200000000000e+01
5.482012000000e+03,3.000000000000e+01
5.484628000000e+03,2.500000000000e+01
5.514230000000e+03,2.500000000000e+01
5.520519000000e+03,3.000000000000e+01
5.671828000000e+03,7.000000000000e+01
5.686856000000e+03,5.000000000000e+01
5.700186000000e+03,5.000000000000e+01
5.711793000000e+03,4.000000000000e+01
5.717314000000e+03,1.000000000000e+01
6.210660000000e+03,2.500000000000e+01
6.239800000000e+03,1.400000000000e+01
6.258900000000e+03,1.100000000000e+01
6.305650000000e+03,3.000000000000e+01
2.205210000000e+04,4.000000000000e+01
2.206540000000e+04,4.000000000000e+01
