percent,R,G,B
0.000000,0,0,0
2.000000,226,0,239
4.000000,215,0,243
6.000000,211,0,255
8.000000,145,0,189
10.000000,97,0,136
12.000000,46,0,70
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,46,125
24.000000,0,121,161
26.000000,0,33,41
28.000000,0,0,0
30.000000,0,64,26
32.000000,0,191,54
34.000000,0,123,18
36.000000,0,112,1
38.000000,13,116,0
40.000000,31,127,0
42.000000,57,151,0
44.000000,58,113,0
46.000000,95,147,0
48.000000,133,166,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,117,58,0
62.000000,123,58,0
64.000000,79,34,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
