percent,R,G,B
0.000000,177,0,177
2.000000,210,0,223
4.000000,0,0,0
6.000000,0,0,0
8.000000,173,0,225
10.000000,94,0,132
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,2,0,132
22.000000,0,32,89
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,224,93
32.000000,0,244,69
34.000000,0,187,28
36.000000,0,187,3
38.000000,0,0,0
40.000000,38,154,0
42.000000,91,237,0
44.000000,77,149,0
46.000000,156,241,0
48.000000,177,221,0
50.000000,198,198,0
52.000000,200,160,0
54.000000,242,169,0
56.000000,144,91,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,149,70,0
64.000000,255,111,0
66.000000,131,53,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,186,21,0
