percent,R,G,B
0.000000,0,0,0
2.000000,214,0,227
4.000000,170,0,193
6.000000,0,0,0
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,110,169,0
48.000000,171,214,0
50.000000,0,0,0
52.000000,97,77,0
54.000000,174,122,0
56.000000,0,0,0
58.000000,145,82,0
60.000000,202,101,0
62.000000,202,95,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,217,41,0
82.000000,160,25,0
84.000000,178,23,0
86.000000,213,21,0
88.000000,205,14,0
90.000000,255,9,0
92.000000,184,1,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
