percent,R,G,B
0.000000,255,0,255
2.000000,238,0,253
4.000000,225,0,254
6.000000,198,0,238
8.000000,176,0,228
10.000000,164,0,230
12.000000,159,0,243
14.000000,142,0,237
16.000000,136,0,252
18.000000,83,0,207
20.000000,3,0,165
22.000000,0,71,194
24.000000,0,0,0
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,0,0
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
