percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,40,0,45
6.000000,90,0,109
8.000000,0,0,0
10.000000,0,0,0
12.000000,0,0,0
14.000000,0,0,0
16.000000,0,0,0
18.000000,0,0,0
20.000000,4,0,255
22.000000,0,65,180
24.000000,0,127,170
26.000000,0,153,188
28.000000,0,151,172
30.000000,0,162,67
32.000000,0,0,0
34.000000,0,103,15
36.000000,0,190,3
38.000000,12,103,0
40.000000,21,86,0
42.000000,75,197,0
44.000000,85,164,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,150,66,0
66.000000,173,70,0
68.000000,164,61,0
70.000000,146,50,0
72.000000,92,29,0
74.000000,110,31,0
76.000000,150,38,0
78.000000,144,32,0
80.000000,89,17,0
82.000000,159,25,0
84.000000,0,0,0
86.000000,68,6,0
88.000000,133,9,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
