wavelength,amplitude
2.279850000000e+03,8.000000000000e+01
2.357300000000e+03,1.000000000000e+02
2.361090000000e+03,1.000000000000e+02
2.371580000000e+03,1.200000000000e+02
2.427640000000e+03,1.400000000000e+02
2.474620000000e+03,2.500000000000e+02
2.484950000000e+03,2.000000000000e+02
2.490460000000e+03,2.000000000000e+02
2.504450000000e+03,2.500000000000e+02
2.507450000000e+03,2.500000000000e+02
2.512650000000e+03,9.000000000000e+01
2.526350000000e+03,5.000000000000e+02
2.546800000000e+03,9.000000000000e+01
2.551070000000e+03,2.000000000000e+02
2.555050000000e+03,9.000000000000e+01
2.559430000000e+03,5.000000000000e+02
2.562100000000e+03,2.000000000000e+02
2.573540000000e+03,1.500000000000e+02
2.573790000000e+03,1.500000000000e+02
2.577780000000e+03,1.300000000000e+02
2.593080000000e+03,1.500000000000e+02
2.595260000000e+03,2.000000000000e+02
2.608630000000e+03,5.000000000000e+02
2.611340000000e+03,1.200000000000e+02
2.615460000000e+03,1.300000000000e+02
2.615660000000e+03,1.200000000000e+02
2.636670000000e+03,2.000000000000e+02
2.636900000000e+03,3.000000000000e+02
2.646220000000e+03,2.000000000000e+02
2.646370000000e+03,2.500000000000e+02
2.647470000000e+03,9.000000000000e+02
2.653270000000e+03,1.000000000000e+03
2.656610000000e+03,7.000000000000e+02
2.661340000000e+03,6.000000000000e+02
2.668620000000e+03,2.500000000000e+02
2.684280000000e+03,2.500000000000e+02
2.691310000000e+03,1.300000000000e+02
2.692400000000e+03,1.000000000000e+02
2.696810000000e+03,9.000000000000e+01
2.698300000000e+03,4.000000000000e+02
2.706690000000e+03,2.000000000000e+02
2.710130000000e+03,5.000000000000e+02
2.714670000000e+03,1.000000000000e+03
2.717180000000e+03,9.000000000000e+01
2.720760000000e+03,2.000000000000e+02
2.727780000000e+03,1.500000000000e+02
2.746680000000e+03,2.000000000000e+02
2.748780000000e+03,5.000000000000e+02
2.749830000000e+03,3.000000000000e+02
2.758310000000e+03,4.000000000000e+02
2.775880000000e+03,3.000000000000e+02
2.787690000000e+03,1.500000000000e+02
2.796340000000e+03,2.500000000000e+02
2.802070000000e+03,1.500000000000e+02
2.806300000000e+03,1.500000000000e+02
2.806580000000e+03,2.000000000000e+02
2.842820000000e+03,1.000000000000e+02
2.844250000000e+03,2.500000000000e+02
2.845350000000e+03,1.100000000000e+02
2.848520000000e+03,2.000000000000e+02
2.850490000000e+03,6.000000000000e+02
2.850980000000e+03,7.000000000000e+02
2.861980000000e+03,1.400000000000e+02
2.868650000000e+03,1.200000000000e+02
2.871420000000e+03,2.000000000000e+02
2.873360000000e+03,1.000000000000e+02
2.873560000000e+03,1.000000000000e+02
2.880020000000e+03,1.500000000000e+02
2.891840000000e+03,3.000000000000e+02
2.899040000000e+03,1.000000000000e+02
2.902050000000e+03,2.000000000000e+02
2.915490000000e+03,1.200000000000e+02
2.925190000000e+03,1.500000000000e+02
2.932700000000e+03,1.200000000000e+02
2.933550000000e+03,7.000000000000e+02
2.940060000000e+03,2.000000000000e+02
2.940220000000e+03,5.000000000000e+02
2.942140000000e+03,9.000000000000e+01
2.951920000000e+03,2.000000000000e+02
2.953560000000e+03,1.300000000000e+02
2.963320000000e+03,6.000000000000e+02
2.965540000000e+03,3.000000000000e+02
2.969470000000e+03,1.300000000000e+02
2.975560000000e+03,1.500000000000e+02
3.027480000000e+03,1.100000000000e+02
3.049560000000e+03,2.000000000000e+02
3.069240000000e+03,2.000000000000e+02
3.077240000000e+03,1.400000000000e+02
3.103250000000e+03,2.000000000000e+02
3.124970000000e+03,1.500000000000e+02
3.130580000000e+03,1.500000000000e+02
3.132640000000e+03,1.000000000000e+02
3.170290000000e+03,1.200000000000e+02
3.173590000000e+03,1.000000000000e+02
3.180950000000e+03,2.500000000000e+02
3.184550000000e+03,9.000000000000e+01
3.311160000000e+03,4.000000000000e+02
3.318840000000e+03,2.500000000000e+02
3.371540000000e+03,2.500000000000e+02
3.385050000000e+03,1.400000000000e+02
3.406940000000e+03,1.500000000000e+02
3.480520000000e+03,2.000000000000e+02
3.497850000000e+03,1.500000000000e+02
3.503870000000e+03,9.000000000000e+01
3.511040000000e+03,2.000000000000e+02
3.607410000000e+03,3.000000000000e+02
3.626620000000e+03,4.000000000000e+02
3.642060000000e+03,2.000000000000e+02
4.061400000000e+03,1.500000000000e+02
4.067910000000e+03,1.200000000000e+02
4.205880000000e+03,1.200000000000e+02
4.510980000000e+03,1.400000000000e+02
4.574310000000e+03,1.300000000000e+02
4.619510000000e+03,1.000000000000e+02
4.681880000000e+03,1.500000000000e+02
5.156560000000e+03,1.300000000000e+02
5.877360000000e+03,9.000000000000e+01
5.944020000000e+03,9.000000000000e+01
6.045390000000e+03,1.000000000000e+02
6.430790000000e+03,1.000000000000e+02
6.450360000000e+03,8.000000000000e+01
6.485370000000e+03,1.500000000000e+02
6.866230000000e+03,8.000000000000e+01
