percent,R,G,B
0.000000,0,0,0
2.000000,0,0,0
4.000000,0,0,0
6.000000,204,0,246
8.000000,160,0,208
10.000000,158,0,222
12.000000,70,0,107
14.000000,0,0,0
16.000000,72,0,132
18.000000,97,0,241
20.000000,4,0,240
22.000000,0,88,242
24.000000,0,53,71
26.000000,0,0,0
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,88,25
34.000000,0,227,34
36.000000,0,0,0
38.000000,0,0,0
40.000000,0,0,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,64,64,0
52.000000,219,175,0
54.000000,202,141,0
56.000000,214,135,0
58.000000,96,54,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,119,52,0
66.000000,255,103,0
68.000000,215,81,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,188,47,0
78.000000,155,34,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
