wavelength,amplitude
3.830261000000e+03,5.000000000000e+02
3.901325000000e+03,5.000000000000e+02
4.032284000000e+03,3.000000000000e+02
4.061558000000e+03,4.000000000000e+02
4.203749000000e+03,2.000000000000e+02
4.266340000000e+03,2.000000000000e+02
4.318847000000e+03,7.000000000000e+02
4.322224000000e+03,2.000000000000e+02
4.326472000000e+03,1.000000000000e+03
4.332117000000e+03,2.000000000000e+02
4.336455000000e+03,3.000000000000e+02
4.337646000000e+03,2.000000000000e+02
4.338435000000e+03,6.000000000000e+02
4.340609000000e+03,2.500000000000e+02
4.356837000000e+03,3.000000000000e+02
4.493077000000e+03,1.400000000000e+02
4.786780000000e+03,6.000000000000e+01
5.228120000000e+03,4.000000000000e+01
5.354880000000e+03,5.000000000000e+01
8.212570000000e+03,3.000000000000e+01
