percent,R,G,B
0.000000,187,0,187
2.000000,194,0,206
4.000000,147,0,166
6.000000,171,0,207
8.000000,118,0,153
10.000000,126,0,177
12.000000,157,0,239
14.000000,152,0,255
16.000000,68,0,126
18.000000,60,0,148
20.000000,0,0,0
22.000000,0,0,0
24.000000,0,91,121
26.000000,0,81,99
28.000000,0,0,0
30.000000,0,0,0
32.000000,0,0,0
34.000000,0,63,9
36.000000,0,116,1
38.000000,12,110,0
40.000000,25,102,0
42.000000,0,0,0
44.000000,0,0,0
46.000000,0,0,0
48.000000,0,0,0
50.000000,0,0,0
52.000000,0,0,0
54.000000,0,0,0
56.000000,0,0,0
58.000000,0,0,0
60.000000,0,0,0
62.000000,0,0,0
64.000000,0,0,0
66.000000,0,0,0
68.000000,0,0,0
70.000000,0,0,0
72.000000,0,0,0
74.000000,0,0,0
76.000000,0,0,0
78.000000,0,0,0
80.000000,0,0,0
82.000000,0,0,0
84.000000,0,0,0
86.000000,0,0,0
88.000000,0,0,0
90.000000,0,0,0
92.000000,0,0,0
94.000000,0,0,0
96.000000,0,0,0
98.000000,0,0,0
100.000000,0,0,0
